setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium tetrachloroferrate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ASEhk,293.15,0,101,900.6,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,293.15,0.1002,101,1015.7,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,293.15,0.1999,101,1095.8,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,293.15,0.3007,101,1160.7,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,293.15,0.3999,101,1210.2,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,293.15,0.5,101,1249.1,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,293.15,0.6001,101,1281.6,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,293.15,0.7,101,1309,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,293.15,0.7973,101,1331.3,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,293.15,0.9,101,1350.6,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,293.15,1,101,1369.1,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,298.15,0,101,894.5,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,298.15,0.1002,101,1010.2,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,298.15,0.1999,101,1090.7,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,298.15,0.3007,101,1155.9,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,298.15,0.3999,101,1205.6,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
