setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium chloride,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ZrnGV,303.15,0,96.7,939.2,Yang et al. (2017b),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAOCWD,CN(C)C=O,dimethylformamide,,,
ZrnGV,303.15,0.151,96.7,987.6,Yang et al. (2017b),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAOCWD,CN(C)C=O,dimethylformamide,,,
ZrnGV,303.15,0.295,96.7,1016.3,Yang et al. (2017b),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAOCWD,CN(C)C=O,dimethylformamide,,,
ZrnGV,303.15,0.385,96.7,1030.1,Yang et al. (2017b),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAOCWD,CN(C)C=O,dimethylformamide,,,
ZrnGV,303.15,0.493,96.7,1043.1,Yang et al. (2017b),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAOCWD,CN(C)C=O,dimethylformamide,,,
ZrnGV,303.15,0.626,96.7,1055.9,Yang et al. (2017b),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAOCWD,CN(C)C=O,dimethylformamide,,,
ZrnGV,303.15,0.79,96.7,1067.7,Yang et al. (2017b),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAOCWD,CN(C)C=O,dimethylformamide,,,
ZrnGV,303.15,0.887,96.7,1072.7,Yang et al. (2017b),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAOCWD,CN(C)C=O,dimethylformamide,,,
ZrnGV,303.15,1,96.7,1079.4,Yang et al. (2017b),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAOCWD,CN(C)C=O,dimethylformamide,,,
ZrnGV,308.15,0,96.7,934.4,Yang et al. (2017b),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAOCWD,CN(C)C=O,dimethylformamide,,,
