setid,"Temperature, K","Moles per mass of solution: tetrabutylammonium perchlorate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
zjPqE,293.15,0.0688,101,787.3,Krakowiak et al. (2000),Density,Liquid,AAHueB,CC#N,acetonitrile,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
zjPqE,293.15,0.0794,101,788.129,Krakowiak et al. (2000),Density,Liquid,AAHueB,CC#N,acetonitrile,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
zjPqE,293.15,0.0922,101,789.13,Krakowiak et al. (2000),Density,Liquid,AAHueB,CC#N,acetonitrile,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
zjPqE,293.15,0.1045,101,790.083,Krakowiak et al. (2000),Density,Liquid,AAHueB,CC#N,acetonitrile,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
zjPqE,293.15,0.1179,101,791.132,Krakowiak et al. (2000),Density,Liquid,AAHueB,CC#N,acetonitrile,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
zjPqE,293.15,0.1301,101,792.076,Krakowiak et al. (2000),Density,Liquid,AAHueB,CC#N,acetonitrile,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
zjPqE,293.15,0.145,101,793.237,Krakowiak et al. (2000),Density,Liquid,AAHueB,CC#N,acetonitrile,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
zjPqE,293.15,0.1558,101,794.073,Krakowiak et al. (2000),Density,Liquid,AAHueB,CC#N,acetonitrile,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
zjPqE,293.15,0.1819,101,796.118,Krakowiak et al. (2000),Density,Liquid,AAHueB,CC#N,acetonitrile,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
zjPqE,293.15,0.2066,101,798.053,Krakowiak et al. (2000),Density,Liquid,AAHueB,CC#N,acetonitrile,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
zjPqE,293.15,0.2313,101,799.993,Krakowiak et al. (2000),Density,Liquid,AAHueB,CC#N,acetonitrile,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
zjPqE,293.15,0.2577,101,802.06,Krakowiak et al. (2000),Density,Liquid,AAHueB,CC#N,acetonitrile,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
zjPqE,293.15,0.3401,101,808.562,Krakowiak et al. (2000),Density,Liquid,AAHueB,CC#N,acetonitrile,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
zjPqE,293.15,0.4247,101,815.323,Krakowiak et al. (2000),Density,Liquid,AAHueB,CC#N,acetonitrile,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
zjPqE,293.15,0.5259,101,823.483,Krakowiak et al. (2000),Density,Liquid,AAHueB,CC#N,acetonitrile,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
zjPqE,293.15,0.6209,101,831.251,Krakowiak et al. (2000),Density,Liquid,AAHueB,CC#N,acetonitrile,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
zjPqE,293.15,0.7143,101,838.963,Krakowiak et al. (2000),Density,Liquid,AAHueB,CC#N,acetonitrile,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
zjPqE,298.15,0.0688,101,781.952,Krakowiak et al. (2000),Density,Liquid,AAHueB,CC#N,acetonitrile,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
zjPqE,298.15,0.0794,101,782.785,Krakowiak et al. (2000),Density,Liquid,AAHueB,CC#N,acetonitrile,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
zjPqE,298.15,0.0922,101,783.796,Krakowiak et al. (2000),Density,Liquid,AAHueB,CC#N,acetonitrile,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
zjPqE,298.15,0.1045,101,784.758,Krakowiak et al. (2000),Density,Liquid,AAHueB,CC#N,acetonitrile,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
zjPqE,298.15,0.1179,101,785.815,Krakowiak et al. (2000),Density,Liquid,AAHueB,CC#N,acetonitrile,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
zjPqE,298.15,0.1301,101,786.77,Krakowiak et al. (2000),Density,Liquid,AAHueB,CC#N,acetonitrile,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
zjPqE,298.15,0.145,101,787.944,Krakowiak et al. (2000),Density,Liquid,AAHueB,CC#N,acetonitrile,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
zjPqE,298.15,0.1558,101,788.785,Krakowiak et al. (2000),Density,Liquid,AAHueB,CC#N,acetonitrile,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
