setid,"Temperature, K","MolaLity of N-acetylglycine, mol/kg","Solvent: MolaLity of 1-dodecyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
WNAqs,288.15,0,0,100,999.125,Sharma et al. (2022d),Density,Liquid,AAWbei,CC(=O)NCC(=O)O,N-acetylglycine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
WNAqs,288.15,0,0.04,100,1000.19,Sharma et al. (2022d),Density,Liquid,AAWbei,CC(=O)NCC(=O)O,N-acetylglycine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
WNAqs,288.15,0,0.06,100,1000.46,Sharma et al. (2022d),Density,Liquid,AAWbei,CC(=O)NCC(=O)O,N-acetylglycine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
WNAqs,288.15,0.00977,0,100,999.423,Sharma et al. (2022d),Density,Liquid,AAWbei,CC(=O)NCC(=O)O,N-acetylglycine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
WNAqs,288.15,0.01019,0.005,100,999.585,Sharma et al. (2022d),Density,Liquid,AAWbei,CC(=O)NCC(=O)O,N-acetylglycine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
WNAqs,288.15,0.01043,0.04,100,1000.5,Sharma et al. (2022d),Density,Liquid,AAWbei,CC(=O)NCC(=O)O,N-acetylglycine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
WNAqs,288.15,0.01043,0.06,100,1000.76,Sharma et al. (2022d),Density,Liquid,AAWbei,CC(=O)NCC(=O)O,N-acetylglycine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
WNAqs,288.15,0.01253,0.02,100,1000.15,Sharma et al. (2022d),Density,Liquid,AAWbei,CC(=O)NCC(=O)O,N-acetylglycine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
WNAqs,288.15,0.02073,0,100,999.757,Sharma et al. (2022d),Density,Liquid,AAWbei,CC(=O)NCC(=O)O,N-acetylglycine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
WNAqs,288.15,0.02078,0.005,100,999.906,Sharma et al. (2022d),Density,Liquid,AAWbei,CC(=O)NCC(=O)O,N-acetylglycine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
WNAqs,288.15,0.02091,0.04,100,1000.81,Sharma et al. (2022d),Density,Liquid,AAWbei,CC(=O)NCC(=O)O,N-acetylglycine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
WNAqs,288.15,0.02091,0.06,100,1001.07,Sharma et al. (2022d),Density,Liquid,AAWbei,CC(=O)NCC(=O)O,N-acetylglycine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
WNAqs,288.15,0.02102,0.02,100,1000.41,Sharma et al. (2022d),Density,Liquid,AAWbei,CC(=O)NCC(=O)O,N-acetylglycine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
WNAqs,288.15,0.02974,0.005,100,1000.18,Sharma et al. (2022d),Density,Liquid,AAWbei,CC(=O)NCC(=O)O,N-acetylglycine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
WNAqs,288.15,0.0302,0,100,1000.05,Sharma et al. (2022d),Density,Liquid,AAWbei,CC(=O)NCC(=O)O,N-acetylglycine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
WNAqs,288.15,0.03049,0.02,100,1000.69,Sharma et al. (2022d),Density,Liquid,AAWbei,CC(=O)NCC(=O)O,N-acetylglycine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
WNAqs,288.15,0.03102,0.04,100,1001.11,Sharma et al. (2022d),Density,Liquid,AAWbei,CC(=O)NCC(=O)O,N-acetylglycine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
WNAqs,288.15,0.03102,0.06,100,1001.37,Sharma et al. (2022d),Density,Liquid,AAWbei,CC(=O)NCC(=O)O,N-acetylglycine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
WNAqs,288.15,0.03901,0.005,100,1000.46,Sharma et al. (2022d),Density,Liquid,AAWbei,CC(=O)NCC(=O)O,N-acetylglycine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
WNAqs,288.15,0.03968,0,100,1000.34,Sharma et al. (2022d),Density,Liquid,AAWbei,CC(=O)NCC(=O)O,N-acetylglycine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
WNAqs,288.15,0.04014,0.04,100,1001.38,Sharma et al. (2022d),Density,Liquid,AAWbei,CC(=O)NCC(=O)O,N-acetylglycine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
