setid,"Temperature, K","Pressure, kPa",Weight fraction of 2-hydroxy-N-(2-hydroxyethyl)-N-methylethanaminium phosphate,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
bkHcA,303.15,101,0.3007,1075.3,Zhao et al. (2010a),Density,Liquid,AADYJk,O,water,ABjeiD,C[NH+](CCO)CCO.C[NH+](CCO)CCO.C[NH+](CCO)CCO.O=P([O-])([O-])[O-],2-hydroxy-N-(2-hydroxyethyl)-N-methylethanaminium phosphate,,,
bkHcA,313.15,101,0.3007,1070.3,Zhao et al. (2010a),Density,Liquid,AADYJk,O,water,ABjeiD,C[NH+](CCO)CCO.C[NH+](CCO)CCO.C[NH+](CCO)CCO.O=P([O-])([O-])[O-],2-hydroxy-N-(2-hydroxyethyl)-N-methylethanaminium phosphate,,,
bkHcA,323.15,101,0.3007,1063.4,Zhao et al. (2010a),Density,Liquid,AADYJk,O,water,ABjeiD,C[NH+](CCO)CCO.C[NH+](CCO)CCO.C[NH+](CCO)CCO.O=P([O-])([O-])[O-],2-hydroxy-N-(2-hydroxyethyl)-N-methylethanaminium phosphate,,,
bkHcA,333.15,101,0.3007,1055.4,Zhao et al. (2010a),Density,Liquid,AADYJk,O,water,ABjeiD,C[NH+](CCO)CCO.C[NH+](CCO)CCO.C[NH+](CCO)CCO.O=P([O-])([O-])[O-],2-hydroxy-N-(2-hydroxyethyl)-N-methylethanaminium phosphate,,,
bkHcA,343.15,101,0.3007,1045.4,Zhao et al. (2010a),Density,Liquid,AADYJk,O,water,ABjeiD,C[NH+](CCO)CCO.C[NH+](CCO)CCO.C[NH+](CCO)CCO.O=P([O-])([O-])[O-],2-hydroxy-N-(2-hydroxyethyl)-N-methylethanaminium phosphate,,,
