setid,"Temperature, K",Mole fraction of 1-ethyl-1-methylpyrrolidinium acetate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
NmjmX,298.15,0,100,997.1,Krolikowska et al. (2017),Density,Liquid,AADYJk,O,water,AAhQUD,CC(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium acetate,,,
NmjmX,298.15,0.1008,100,1046.6,Krolikowska et al. (2017),Density,Liquid,AADYJk,O,water,AAhQUD,CC(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium acetate,,,
NmjmX,298.15,0.2083,100,1066.7,Krolikowska et al. (2017),Density,Liquid,AADYJk,O,water,AAhQUD,CC(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium acetate,,,
NmjmX,298.15,0.3171,100,1070.7,Krolikowska et al. (2017),Density,Liquid,AADYJk,O,water,AAhQUD,CC(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium acetate,,,
NmjmX,298.15,0.4126,100,1070.8,Krolikowska et al. (2017),Density,Liquid,AADYJk,O,water,AAhQUD,CC(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium acetate,,,
NmjmX,298.15,0.481,100,1070.2,Krolikowska et al. (2017),Density,Liquid,AADYJk,O,water,AAhQUD,CC(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium acetate,,,
NmjmX,298.15,0.5857,100,1069.2,Krolikowska et al. (2017),Density,Liquid,AADYJk,O,water,AAhQUD,CC(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium acetate,,,
NmjmX,298.15,0.6728,100,1068.1,Krolikowska et al. (2017),Density,Liquid,AADYJk,O,water,AAhQUD,CC(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium acetate,,,
NmjmX,298.15,0.766,100,1066.9,Krolikowska et al. (2017),Density,Liquid,AADYJk,O,water,AAhQUD,CC(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium acetate,,,
NmjmX,298.15,0.8963,100,1065.4,Krolikowska et al. (2017),Density,Liquid,AADYJk,O,water,AAhQUD,CC(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium acetate,,,
NmjmX,303.15,0,100,995.7,Krolikowska et al. (2017),Density,Liquid,AADYJk,O,water,AAhQUD,CC(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium acetate,,,
NmjmX,303.15,0.1008,100,1043.6,Krolikowska et al. (2017),Density,Liquid,AADYJk,O,water,AAhQUD,CC(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium acetate,,,
NmjmX,303.15,0.2083,100,1063.6,Krolikowska et al. (2017),Density,Liquid,AADYJk,O,water,AAhQUD,CC(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium acetate,,,
NmjmX,303.15,0.3171,100,1067.6,Krolikowska et al. (2017),Density,Liquid,AADYJk,O,water,AAhQUD,CC(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium acetate,,,
NmjmX,303.15,0.4126,100,1067.8,Krolikowska et al. (2017),Density,Liquid,AADYJk,O,water,AAhQUD,CC(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium acetate,,,
NmjmX,303.15,0.481,100,1067.2,Krolikowska et al. (2017),Density,Liquid,AADYJk,O,water,AAhQUD,CC(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium acetate,,,
NmjmX,303.15,0.5857,100,1066.3,Krolikowska et al. (2017),Density,Liquid,AADYJk,O,water,AAhQUD,CC(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium acetate,,,
NmjmX,303.15,0.6728,100,1065.3,Krolikowska et al. (2017),Density,Liquid,AADYJk,O,water,AAhQUD,CC(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium acetate,,,
NmjmX,303.15,0.766,100,1064,Krolikowska et al. (2017),Density,Liquid,AADYJk,O,water,AAhQUD,CC(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium acetate,,,
NmjmX,303.15,0.8963,100,1062.5,Krolikowska et al. (2017),Density,Liquid,AADYJk,O,water,AAhQUD,CC(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium acetate,,,
NmjmX,308.15,0,100,994,Krolikowska et al. (2017),Density,Liquid,AADYJk,O,water,AAhQUD,CC(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium acetate,,,
NmjmX,308.15,0.1008,100,1040.7,Krolikowska et al. (2017),Density,Liquid,AADYJk,O,water,AAhQUD,CC(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium acetate,,,
NmjmX,308.15,0.2083,100,1060.3,Krolikowska et al. (2017),Density,Liquid,AADYJk,O,water,AAhQUD,CC(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium acetate,,,
NmjmX,308.15,0.3171,100,1064.5,Krolikowska et al. (2017),Density,Liquid,AADYJk,O,water,AAhQUD,CC(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium acetate,,,
NmjmX,308.15,0.4126,100,1064.8,Krolikowska et al. (2017),Density,Liquid,AADYJk,O,water,AAhQUD,CC(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium acetate,,,
NmjmX,308.15,0.481,100,1064.2,Krolikowska et al. (2017),Density,Liquid,AADYJk,O,water,AAhQUD,CC(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium acetate,,,
NmjmX,308.15,0.5857,100,1063.1,Krolikowska et al. (2017),Density,Liquid,AADYJk,O,water,AAhQUD,CC(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium acetate,,,
