setid,"Temperature, K","MolaLity of 1,1,3,3-tetramethylguanidinium phenylacetate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ymWsO,293.15,0.00986,100,998.5,Das et al. (2017),Density,Liquid,AAwRyW,CN(C)C(=[NH2+])N(C)C.O=C([O-])Cc1ccccc1,"1,1,3,3-tetramethylguanidinium phenylacetate",AADYJk,O,water,,,
ymWsO,293.15,0.02038,100,998.8,Das et al. (2017),Density,Liquid,AAwRyW,CN(C)C(=[NH2+])N(C)C.O=C([O-])Cc1ccccc1,"1,1,3,3-tetramethylguanidinium phenylacetate",AADYJk,O,water,,,
ymWsO,293.15,0.04875,100,999.6,Das et al. (2017),Density,Liquid,AAwRyW,CN(C)C(=[NH2+])N(C)C.O=C([O-])Cc1ccccc1,"1,1,3,3-tetramethylguanidinium phenylacetate",AADYJk,O,water,,,
ymWsO,293.15,0.07975,100,1000.5,Das et al. (2017),Density,Liquid,AAwRyW,CN(C)C(=[NH2+])N(C)C.O=C([O-])Cc1ccccc1,"1,1,3,3-tetramethylguanidinium phenylacetate",AADYJk,O,water,,,
ymWsO,293.15,0.09927,100,1001,Das et al. (2017),Density,Liquid,AAwRyW,CN(C)C(=[NH2+])N(C)C.O=C([O-])Cc1ccccc1,"1,1,3,3-tetramethylguanidinium phenylacetate",AADYJk,O,water,,,
ymWsO,293.15,0.15002,100,1002.5,Das et al. (2017),Density,Liquid,AAwRyW,CN(C)C(=[NH2+])N(C)C.O=C([O-])Cc1ccccc1,"1,1,3,3-tetramethylguanidinium phenylacetate",AADYJk,O,water,,,
ymWsO,293.15,0.19964,100,1003.8,Das et al. (2017),Density,Liquid,AAwRyW,CN(C)C(=[NH2+])N(C)C.O=C([O-])Cc1ccccc1,"1,1,3,3-tetramethylguanidinium phenylacetate",AADYJk,O,water,,,
ymWsO,298.15,0.00986,100,997.3,Das et al. (2017),Density,Liquid,AAwRyW,CN(C)C(=[NH2+])N(C)C.O=C([O-])Cc1ccccc1,"1,1,3,3-tetramethylguanidinium phenylacetate",AADYJk,O,water,,,
ymWsO,298.15,0.02038,100,997.6,Das et al. (2017),Density,Liquid,AAwRyW,CN(C)C(=[NH2+])N(C)C.O=C([O-])Cc1ccccc1,"1,1,3,3-tetramethylguanidinium phenylacetate",AADYJk,O,water,,,
ymWsO,298.15,0.04875,100,998.4,Das et al. (2017),Density,Liquid,AAwRyW,CN(C)C(=[NH2+])N(C)C.O=C([O-])Cc1ccccc1,"1,1,3,3-tetramethylguanidinium phenylacetate",AADYJk,O,water,,,
ymWsO,298.15,0.07975,100,999.3,Das et al. (2017),Density,Liquid,AAwRyW,CN(C)C(=[NH2+])N(C)C.O=C([O-])Cc1ccccc1,"1,1,3,3-tetramethylguanidinium phenylacetate",AADYJk,O,water,,,
ymWsO,298.15,0.09927,100,999.8,Das et al. (2017),Density,Liquid,AAwRyW,CN(C)C(=[NH2+])N(C)C.O=C([O-])Cc1ccccc1,"1,1,3,3-tetramethylguanidinium phenylacetate",AADYJk,O,water,,,
ymWsO,298.15,0.15002,100,1001.2,Das et al. (2017),Density,Liquid,AAwRyW,CN(C)C(=[NH2+])N(C)C.O=C([O-])Cc1ccccc1,"1,1,3,3-tetramethylguanidinium phenylacetate",AADYJk,O,water,,,
ymWsO,298.15,0.19964,100,1002.5,Das et al. (2017),Density,Liquid,AAwRyW,CN(C)C(=[NH2+])N(C)C.O=C([O-])Cc1ccccc1,"1,1,3,3-tetramethylguanidinium phenylacetate",AADYJk,O,water,,,
ymWsO,303.15,0.00986,100,995.9,Das et al. (2017),Density,Liquid,AAwRyW,CN(C)C(=[NH2+])N(C)C.O=C([O-])Cc1ccccc1,"1,1,3,3-tetramethylguanidinium phenylacetate",AADYJk,O,water,,,
ymWsO,303.15,0.02038,100,996.2,Das et al. (2017),Density,Liquid,AAwRyW,CN(C)C(=[NH2+])N(C)C.O=C([O-])Cc1ccccc1,"1,1,3,3-tetramethylguanidinium phenylacetate",AADYJk,O,water,,,
ymWsO,303.15,0.04875,100,997,Das et al. (2017),Density,Liquid,AAwRyW,CN(C)C(=[NH2+])N(C)C.O=C([O-])Cc1ccccc1,"1,1,3,3-tetramethylguanidinium phenylacetate",AADYJk,O,water,,,
ymWsO,303.15,0.07975,100,997.8,Das et al. (2017),Density,Liquid,AAwRyW,CN(C)C(=[NH2+])N(C)C.O=C([O-])Cc1ccccc1,"1,1,3,3-tetramethylguanidinium phenylacetate",AADYJk,O,water,,,
ymWsO,303.15,0.09927,100,998.4,Das et al. (2017),Density,Liquid,AAwRyW,CN(C)C(=[NH2+])N(C)C.O=C([O-])Cc1ccccc1,"1,1,3,3-tetramethylguanidinium phenylacetate",AADYJk,O,water,,,
ymWsO,303.15,0.15002,100,999.7,Das et al. (2017),Density,Liquid,AAwRyW,CN(C)C(=[NH2+])N(C)C.O=C([O-])Cc1ccccc1,"1,1,3,3-tetramethylguanidinium phenylacetate",AADYJk,O,water,,,
ymWsO,303.15,0.19964,100,1001,Das et al. (2017),Density,Liquid,AAwRyW,CN(C)C(=[NH2+])N(C)C.O=C([O-])Cc1ccccc1,"1,1,3,3-tetramethylguanidinium phenylacetate",AADYJk,O,water,,,
ymWsO,308.15,0.00986,100,994.3,Das et al. (2017),Density,Liquid,AAwRyW,CN(C)C(=[NH2+])N(C)C.O=C([O-])Cc1ccccc1,"1,1,3,3-tetramethylguanidinium phenylacetate",AADYJk,O,water,,,
