setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium trifluoromethanesulfonate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
SphSi,298.15,0,100,805.734,Anwar and Riyazuddeen (2016),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAONVE,CCCCO,butan-1-ol,,,
SphSi,298.15,0.1091,100,916,Anwar and Riyazuddeen (2016),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAONVE,CCCCO,butan-1-ol,,,
SphSi,298.15,0.2147,100,998.9,Anwar and Riyazuddeen (2016),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAONVE,CCCCO,butan-1-ol,,,
SphSi,298.15,0.2908,100,1047.8,Anwar and Riyazuddeen (2016),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAONVE,CCCCO,butan-1-ol,,,
SphSi,298.15,0.4008,100,1106.7,Anwar and Riyazuddeen (2016),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAONVE,CCCCO,butan-1-ol,,,
SphSi,298.15,0.5123,100,1155.7,Anwar and Riyazuddeen (2016),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAONVE,CCCCO,butan-1-ol,,,
SphSi,298.15,0.5928,100,1186.1,Anwar and Riyazuddeen (2016),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAONVE,CCCCO,butan-1-ol,,,
SphSi,298.15,0.6991,100,1221,Anwar and Riyazuddeen (2016),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAONVE,CCCCO,butan-1-ol,,,
SphSi,298.15,0.8056,100,1251.1,Anwar and Riyazuddeen (2016),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAONVE,CCCCO,butan-1-ol,,,
SphSi,298.15,0.9078,100,1276.4,Anwar and Riyazuddeen (2016),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAONVE,CCCCO,butan-1-ol,,,
SphSi,298.15,1,100,1297.5,Anwar and Riyazuddeen (2016),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAONVE,CCCCO,butan-1-ol,,,
SphSi,303.15,0,100,801.899,Anwar and Riyazuddeen (2016),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAONVE,CCCCO,butan-1-ol,,,
SphSi,303.15,0.1091,100,912.2,Anwar and Riyazuddeen (2016),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAONVE,CCCCO,butan-1-ol,,,
SphSi,303.15,0.2147,100,995.1,Anwar and Riyazuddeen (2016),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAONVE,CCCCO,butan-1-ol,,,
SphSi,303.15,0.2908,100,1043.9,Anwar and Riyazuddeen (2016),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAONVE,CCCCO,butan-1-ol,,,
SphSi,303.15,0.4008,100,1102.7,Anwar and Riyazuddeen (2016),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAONVE,CCCCO,butan-1-ol,,,
