setid,"Temperature, K","Mole fraction of 2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
WtAVr,293.15,0,101,789.921,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,293.15,0.1,101,884.111,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,293.15,0.2,101,939.492,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,293.15,0.3,101,977.638,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,293.15,0.4,101,1003.88,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,293.15,0.5,101,1020.61,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,293.15,0.5999,101,1034.45,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,293.15,0.7,101,1045.8,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,293.15,0.8,101,1054.6,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,293.15,0.8999,101,1063,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,293.15,1,101,1070.7,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,298.15,0,101,785.631,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,298.15,0.1,101,880.427,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,298.15,0.2,101,936.092,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
