setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium hydrogen sulfate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ZSNMF,298.15,0,100,1095.3,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZSNMF,298.15,0.049,100,1128.8,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZSNMF,298.15,0.135,100,1175.7,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZSNMF,298.15,0.238,100,1219.1,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZSNMF,298.15,0.364,100,1259.4,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZSNMF,298.15,0.522,100,1297.2,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZSNMF,298.15,0.652,100,1321,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZSNMF,298.15,0.726,100,1332.4,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZSNMF,298.15,0.808,100,1343.7,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZSNMF,298.15,0.918,100,1357,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZSNMF,298.15,1,100,1365.8,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZSNMF,303.15,0,100,1090.3,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZSNMF,303.15,0.049,100,1124.1,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZSNMF,303.15,0.135,100,1171.4,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZSNMF,303.15,0.238,100,1214.9,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZSNMF,303.15,0.364,100,1255.5,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZSNMF,303.15,0.522,100,1293.6,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZSNMF,303.15,0.652,100,1317.6,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZSNMF,303.15,0.726,100,1329.1,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZSNMF,303.15,0.808,100,1340.5,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZSNMF,303.15,0.918,100,1353.9,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZSNMF,303.15,1,100,1362.6,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZSNMF,308.15,0,100,1085.3,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZSNMF,308.15,0.049,100,1119.4,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZSNMF,308.15,0.135,100,1167,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
