setid,"Solvent: MolaLity of 1-(2-carboxyethyl)-3-methylimidazolium chloride, mol/kg","MolaLity of L-threonine, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
pJFEG,0.05,0,298.15,86,1000,Asadzadeh et al. (2023),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water
pJFEG,0.05,0.0409,298.15,86,1000,Asadzadeh et al. (2023),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water
pJFEG,0.05,0.0609,298.15,86,1000,Asadzadeh et al. (2023),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water
pJFEG,0.05,0.0749,298.15,86,1000,Asadzadeh et al. (2023),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water
pJFEG,0.05,0.0908,298.15,86,1000,Asadzadeh et al. (2023),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water
pJFEG,0.05,0.1007,298.15,86,1000,Asadzadeh et al. (2023),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water
pJFEG,0.05,0.1306,298.15,86,1000,Asadzadeh et al. (2023),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water
pJFEG,0.05,0.1515,298.15,86,1010,Asadzadeh et al. (2023),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water
pJFEG,0.05,0.1691,298.15,86,1010,Asadzadeh et al. (2023),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water
pJFEG,0.05,0.1992,298.15,86,1010,Asadzadeh et al. (2023),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water
pJFEG,0.07,0,298.15,86,1000,Asadzadeh et al. (2023),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water
pJFEG,0.07,0.0392,298.15,86,1000,Asadzadeh et al. (2023),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water
pJFEG,0.07,0.061,298.15,86,1000,Asadzadeh et al. (2023),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water
pJFEG,0.07,0.0752,298.15,86,1000,Asadzadeh et al. (2023),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water
pJFEG,0.07,0.0904,298.15,86,1000,Asadzadeh et al. (2023),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water
pJFEG,0.07,0.1021,298.15,86,1000,Asadzadeh et al. (2023),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water
pJFEG,0.07,0.1291,298.15,86,1010,Asadzadeh et al. (2023),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water
pJFEG,0.07,0.1516,298.15,86,1010,Asadzadeh et al. (2023),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water
pJFEG,0.07,0.1684,298.15,86,1010,Asadzadeh et al. (2023),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water
pJFEG,0.07,0.2041,298.15,86,1010,Asadzadeh et al. (2023),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water
