setid,"MolaLity of sodium dodecyl sulfate, mol/kg","MolaLity of L-leucine, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Mgbzd,0.05,0,298.15,101,999.133,Singh et al. (2004),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
Mgbzd,0.05,0.03048,298.15,101,999.83,Singh et al. (2004),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
Mgbzd,0.05,0.03241,298.15,101,999.871,Singh et al. (2004),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
Mgbzd,0.05,0.04362,298.15,101,1000.13,Singh et al. (2004),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
Mgbzd,0.05,0.05767,298.15,101,1000.45,Singh et al. (2004),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
Mgbzd,0.05,0.0626,298.15,101,1000.56,Singh et al. (2004),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
Mgbzd,0.05,0.07411,298.15,101,1000.83,Singh et al. (2004),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
Mgbzd,0.05,0.07802,298.15,101,1000.93,Singh et al. (2004),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
Mgbzd,0.05,0.08895,298.15,101,1001.16,Singh et al. (2004),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
Mgbzd,0.05,0.10248,298.15,101,1001.48,Singh et al. (2004),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
Mgbzd,0.5,0,298.15,101,1014.57,Singh et al. (2004),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
Mgbzd,0.5,0.01838,298.15,101,1014.92,Singh et al. (2004),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
Mgbzd,0.5,0.02524,298.15,101,1015.06,Singh et al. (2004),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
Mgbzd,0.5,0.04271,298.15,101,1015.4,Singh et al. (2004),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
Mgbzd,0.5,0.05368,298.15,101,1015.61,Singh et al. (2004),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
Mgbzd,0.5,0.05707,298.15,101,1015.68,Singh et al. (2004),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
Mgbzd,0.5,0.07505,298.15,101,1016.01,Singh et al. (2004),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
Mgbzd,0.5,0.08068,298.15,101,1016.14,Singh et al. (2004),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
