setid,"Temperature, K","Solvent: MolaLity of pentan-1-ol, mol/kg","MolaLity of sodium dodecyl sulfate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
uOcDy,288.15,0.05,0,101,998.4,De Lisi et al. (1984),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
uOcDy,288.15,0.05,0.00987,101,999,De Lisi et al. (1984),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
uOcDy,288.15,0.05,0.019,101,999.3,De Lisi et al. (1984),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
uOcDy,288.15,0.05,0.0285,101,999.7,De Lisi et al. (1984),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
uOcDy,288.15,0.05,0.05,101,1000.5,De Lisi et al. (1984),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
uOcDy,288.15,0.05,0.0994,101,1002.4,De Lisi et al. (1984),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
uOcDy,288.15,0.05,0.1395,101,1004,De Lisi et al. (1984),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
uOcDy,288.15,0.05,0.1827,101,1005.6,De Lisi et al. (1984),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
uOcDy,288.15,0.05,0.2602,101,1008.4,De Lisi et al. (1984),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
uOcDy,288.15,0.05,0.4129,101,1013.7,De Lisi et al. (1984),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
uOcDy,288.15,0.05,0.5164,101,1017,De Lisi et al. (1984),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
uOcDy,288.15,0.1,0,101,997.8,De Lisi et al. (1984),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
uOcDy,288.15,0.1,0.00983,101,998.3,De Lisi et al. (1984),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
uOcDy,288.15,0.1,0.0189,101,998.6,De Lisi et al. (1984),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
uOcDy,288.15,0.1,0.0283,101,999,De Lisi et al. (1984),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
uOcDy,288.15,0.1,0.0498,101,999.8,De Lisi et al. (1984),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
uOcDy,288.15,0.1,0.0989,101,1001.7,De Lisi et al. (1984),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
