setid,"Temperature, K","MolaRity of tetrabutylammonium hydrogen sulfate, mol/dm3","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
tfRPn,298.15,0.02,101,997.7,Sarkar and Sinha (2013),Density,Liquid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,,,
tfRPn,298.15,0.036,101,998.1,Sarkar and Sinha (2013),Density,Liquid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,,,
tfRPn,298.15,0.052,101,998.4,Sarkar and Sinha (2013),Density,Liquid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,,,
tfRPn,298.15,0.068,101,998.7,Sarkar and Sinha (2013),Density,Liquid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,,,
tfRPn,298.15,0.084,101,998.9,Sarkar and Sinha (2013),Density,Liquid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,,,
tfRPn,298.15,0.1,101,999.1,Sarkar and Sinha (2013),Density,Liquid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,,,
tfRPn,308.15,0.02,101,994.7,Sarkar and Sinha (2013),Density,Liquid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,,,
tfRPn,308.15,0.0359,101,995.2,Sarkar and Sinha (2013),Density,Liquid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,,,
tfRPn,308.15,0.0518,101,995.6,Sarkar and Sinha (2013),Density,Liquid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,,,
tfRPn,308.15,0.0678,101,995.9,Sarkar and Sinha (2013),Density,Liquid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,,,
tfRPn,308.15,0.0838,101,996.2,Sarkar and Sinha (2013),Density,Liquid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,,,
tfRPn,308.15,0.0997,101,996.4,Sarkar and Sinha (2013),Density,Liquid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,,,
tfRPn,318.15,0.0199,101,991,Sarkar and Sinha (2013),Density,Liquid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,,,
tfRPn,318.15,0.0357,101,991.5,Sarkar and Sinha (2013),Density,Liquid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,,,
tfRPn,318.15,0.0516,101,991.9,Sarkar and Sinha (2013),Density,Liquid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,,,
tfRPn,318.15,0.0676,101,992.3,Sarkar and Sinha (2013),Density,Liquid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,,,
tfRPn,318.15,0.0835,101,992.6,Sarkar and Sinha (2013),Density,Liquid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,,,
tfRPn,318.15,0.0993,101,992.8,Sarkar and Sinha (2013),Density,Liquid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,,,
