setid,"MolaLity of sodium dodecyl sulfate, mol/kg","MolaLity of 2-aminoacetic acid, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
qJsRZ,0.05,0,298.15,101,999.103,Singh et al. (2004),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
qJsRZ,0.05,0.13291,298.15,101,1003.26,Singh et al. (2004),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
qJsRZ,0.05,0.23423,298.15,101,1006.4,Singh et al. (2004),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
qJsRZ,0.05,0.6257,298.15,101,1018.09,Singh et al. (2004),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
qJsRZ,0.05,0.84427,298.15,101,1024.39,Singh et al. (2004),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
qJsRZ,0.05,0.90571,298.15,101,1026.12,Singh et al. (2004),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
qJsRZ,0.05,1.20892,298.15,101,1034.43,Singh et al. (2004),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
qJsRZ,0.05,1.31433,298.15,101,1037.23,Singh et al. (2004),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
qJsRZ,0.05,1.67028,298.15,101,1046.47,Singh et al. (2004),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
qJsRZ,0.05,2.06759,298.15,101,1056.21,Singh et al. (2004),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
qJsRZ,0.5,0,298.15,101,1014.57,Singh et al. (2004),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
qJsRZ,0.5,0.23282,298.15,101,1021.63,Singh et al. (2004),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
qJsRZ,0.5,0.34633,298.15,101,1024.95,Singh et al. (2004),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
qJsRZ,0.5,0.55413,298.15,101,1031.03,Singh et al. (2004),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
qJsRZ,0.5,0.8202,298.15,101,1038.32,Singh et al. (2004),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
qJsRZ,0.5,0.99978,298.15,101,1043.28,Singh et al. (2004),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
qJsRZ,0.5,1.20958,298.15,101,1048.89,Singh et al. (2004),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
qJsRZ,0.5,1.46411,298.15,101,1055.34,Singh et al. (2004),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
qJsRZ,0.5,1.67413,298.15,101,1060.42,Singh et al. (2004),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
qJsRZ,0.5,2.32496,298.15,101,1075.62,Singh et al. (2004),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
qJsRZ,1,0,298.15,101,1027.42,Singh et al. (2004),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
qJsRZ,1,0.2415,298.15,101,1034.38,Singh et al. (2004),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
