setid,"MolaRity of N,N,N-triethyl-3-sulfo1-propanaminium tetrafluoroborate, mol/dm3","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
adNte,0.0111,101,298,1001.3,Fiegenbaum et al. (2016),Density,Liquid,ABHrbp,CC[N+](CC)(CC)CCCS(=O)(=O)O.F[B-](F)(F)F,"N,N,N-triethyl-3-sulfo1-propanaminium tetrafluoroborate",AADYJk,O,water,,,
adNte,0.0507,101,298,1003.3,Fiegenbaum et al. (2016),Density,Liquid,ABHrbp,CC[N+](CC)(CC)CCCS(=O)(=O)O.F[B-](F)(F)F,"N,N,N-triethyl-3-sulfo1-propanaminium tetrafluoroborate",AADYJk,O,water,,,
adNte,0.1016,101,298,1010.9,Fiegenbaum et al. (2016),Density,Liquid,ABHrbp,CC[N+](CC)(CC)CCCS(=O)(=O)O.F[B-](F)(F)F,"N,N,N-triethyl-3-sulfo1-propanaminium tetrafluoroborate",AADYJk,O,water,,,
adNte,0.1508,101,298,1018.7,Fiegenbaum et al. (2016),Density,Liquid,ABHrbp,CC[N+](CC)(CC)CCCS(=O)(=O)O.F[B-](F)(F)F,"N,N,N-triethyl-3-sulfo1-propanaminium tetrafluoroborate",AADYJk,O,water,,,
adNte,0.2016,101,298,1021.5,Fiegenbaum et al. (2016),Density,Liquid,ABHrbp,CC[N+](CC)(CC)CCCS(=O)(=O)O.F[B-](F)(F)F,"N,N,N-triethyl-3-sulfo1-propanaminium tetrafluoroborate",AADYJk,O,water,,,
adNte,0.2492,101,298,1028,Fiegenbaum et al. (2016),Density,Liquid,ABHrbp,CC[N+](CC)(CC)CCCS(=O)(=O)O.F[B-](F)(F)F,"N,N,N-triethyl-3-sulfo1-propanaminium tetrafluoroborate",AADYJk,O,water,,,
adNte,0.3031,101,298,1030.7,Fiegenbaum et al. (2016),Density,Liquid,ABHrbp,CC[N+](CC)(CC)CCCS(=O)(=O)O.F[B-](F)(F)F,"N,N,N-triethyl-3-sulfo1-propanaminium tetrafluoroborate",AADYJk,O,water,,,
adNte,0.3507,101,298,1037.1,Fiegenbaum et al. (2016),Density,Liquid,ABHrbp,CC[N+](CC)(CC)CCCS(=O)(=O)O.F[B-](F)(F)F,"N,N,N-triethyl-3-sulfo1-propanaminium tetrafluoroborate",AADYJk,O,water,,,
adNte,0.4015,101,298,1041.3,Fiegenbaum et al. (2016),Density,Liquid,ABHrbp,CC[N+](CC)(CC)CCCS(=O)(=O)O.F[B-](F)(F)F,"N,N,N-triethyl-3-sulfo1-propanaminium tetrafluoroborate",AADYJk,O,water,,,
adNte,0.4523,101,298,1046.7,Fiegenbaum et al. (2016),Density,Liquid,ABHrbp,CC[N+](CC)(CC)CCCS(=O)(=O)O.F[B-](F)(F)F,"N,N,N-triethyl-3-sulfo1-propanaminium tetrafluoroborate",AADYJk,O,water,,,
adNte,0.5031,101,298,1053.6,Fiegenbaum et al. (2016),Density,Liquid,ABHrbp,CC[N+](CC)(CC)CCCS(=O)(=O)O.F[B-](F)(F)F,"N,N,N-triethyl-3-sulfo1-propanaminium tetrafluoroborate",AADYJk,O,water,,,
adNte,0.5491,101,298,1056.9,Fiegenbaum et al. (2016),Density,Liquid,ABHrbp,CC[N+](CC)(CC)CCCS(=O)(=O)O.F[B-](F)(F)F,"N,N,N-triethyl-3-sulfo1-propanaminium tetrafluoroborate",AADYJk,O,water,,,
adNte,0.6505,101,298,1059.8,Fiegenbaum et al. (2016),Density,Liquid,ABHrbp,CC[N+](CC)(CC)CCCS(=O)(=O)O.F[B-](F)(F)F,"N,N,N-triethyl-3-sulfo1-propanaminium tetrafluoroborate",AADYJk,O,water,,,
adNte,0.7012,101,298,1062.2,Fiegenbaum et al. (2016),Density,Liquid,ABHrbp,CC[N+](CC)(CC)CCCS(=O)(=O)O.F[B-](F)(F)F,"N,N,N-triethyl-3-sulfo1-propanaminium tetrafluoroborate",AADYJk,O,water,,,
