setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium thiocyanate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
TTDAO,293.15,0,101,782.04,Singh et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
TTDAO,293.15,0.0535,101,839.3,Singh et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
TTDAO,293.15,0.1029,101,878.19,Singh et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
TTDAO,293.15,0.2012,101,933.48,Singh et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
TTDAO,293.15,0.3075,101,973.57,Singh et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
TTDAO,293.15,0.4006,101,998.69,Singh et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
TTDAO,293.15,0.5101,101,1020.81,Singh et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
TTDAO,293.15,0.5932,101,1033.89,Singh et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
TTDAO,293.15,0.6939,101,1046.82,Singh et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
TTDAO,293.15,0.8064,101,1058.01,Singh et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
TTDAO,293.15,0.9016,101,1066.01,Singh et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
TTDAO,293.15,1,101,1072.74,Singh et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
TTDAO,298.15,0,101,776.66,Singh et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
TTDAO,298.15,0.0535,101,834.5,Singh et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
TTDAO,298.15,0.1029,101,873.73,Singh et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
TTDAO,298.15,0.2012,101,929.48,Singh et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
TTDAO,298.15,0.3075,101,969.89,Singh et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
TTDAO,298.15,0.4006,101,995.19,Singh et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
TTDAO,298.15,0.5101,101,1017.48,Singh et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
TTDAO,298.15,0.5932,101,1030.65,Singh et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
TTDAO,298.15,0.6939,101,1043.67,Singh et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
TTDAO,298.15,0.8064,101,1055.33,Singh et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
TTDAO,298.15,0.9016,101,1063.39,Singh et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
TTDAO,298.15,1,101,1070.34,Singh et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
TTDAO,303.15,0,101,771.24,Singh et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
TTDAO,303.15,0.0535,101,829.6,Singh et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
TTDAO,303.15,0.1029,101,869.25,Singh et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
