setid,"MolaLity of 1-decyl-3-methylimidazolium gluconate, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
PtDZI,0.0199,101,298.15,998.354,Chen et al. (2016b),Density,Liquid,AADYJk,O,water,ABcZmo,CCCCCCCCCC[n+]1ccn(C)c1.O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,1-decyl-3-methylimidazolium gluconate,,,
PtDZI,0.0353,101,298.15,999.358,Chen et al. (2016b),Density,Liquid,AADYJk,O,water,ABcZmo,CCCCCCCCCC[n+]1ccn(C)c1.O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,1-decyl-3-methylimidazolium gluconate,,,
PtDZI,0.049,101,298.15,1000.27,Chen et al. (2016b),Density,Liquid,AADYJk,O,water,ABcZmo,CCCCCCCCCC[n+]1ccn(C)c1.O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,1-decyl-3-methylimidazolium gluconate,,,
PtDZI,0.0772,101,298.15,1002.12,Chen et al. (2016b),Density,Liquid,AADYJk,O,water,ABcZmo,CCCCCCCCCC[n+]1ccn(C)c1.O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,1-decyl-3-methylimidazolium gluconate,,,
PtDZI,0.0951,101,298.15,1003.3,Chen et al. (2016b),Density,Liquid,AADYJk,O,water,ABcZmo,CCCCCCCCCC[n+]1ccn(C)c1.O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,1-decyl-3-methylimidazolium gluconate,,,
PtDZI,0.1089,101,298.15,1004.19,Chen et al. (2016b),Density,Liquid,AADYJk,O,water,ABcZmo,CCCCCCCCCC[n+]1ccn(C)c1.O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,1-decyl-3-methylimidazolium gluconate,,,
