setid,"Solvent: MolaLity of 1-butyl-3-propyl-1H-imidazolium bromide, mol/kg","Temperature, K","MolaLity of L-leucine, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
nsleJ,0.01,288.15,0,100,999.7,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine
nsleJ,0.01,288.15,0.0476,100,1000.8,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine
nsleJ,0.01,288.15,0.0789,100,1001.6,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine
nsleJ,0.01,288.15,0.0895,100,1001.8,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine
nsleJ,0.01,288.15,0.0992,100,1002.1,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine
nsleJ,0.01,288.15,0.1095,100,1002.3,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine
nsleJ,0.01,288.15,0.1459,100,1003.2,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine
nsleJ,0.01,298.15,0,100,997.5,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine
nsleJ,0.01,298.15,0.0476,100,998.6,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine
nsleJ,0.01,298.15,0.0789,100,999.4,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine
nsleJ,0.01,298.15,0.0895,100,999.6,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine
nsleJ,0.01,298.15,0.0992,100,999.9,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine
nsleJ,0.01,298.15,0.1095,100,1000.1,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine
nsleJ,0.01,298.15,0.1459,100,1000.9,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine
nsleJ,0.01,308.15,0,100,994.5,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine
nsleJ,0.01,308.15,0.0476,100,995.6,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine
nsleJ,0.01,308.15,0.0789,100,996.3,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine
nsleJ,0.01,308.15,0.0895,100,996.5,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine
nsleJ,0.01,308.15,0.0992,100,996.7,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine
