setid,Mole fraction of methylcyclohexane,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
aYeHf,0,298.15,101,1161.68,Gonzalez et al. (2010f),Density,Liquid mixture 1,Liquid mixture 2,,10,AAStyH,CC1CCCCC1,methylcyclohexane,AARlpN,Cc1ccccc1,toluene
aYeHf,0.0001,298.15,101,1164.93,Gonzalez et al. (2010f),Density,Liquid mixture 1,Liquid mixture 2,,10,AAStyH,CC1CCCCC1,methylcyclohexane,AARlpN,Cc1ccccc1,toluene
aYeHf,0.002,298.15,101,1173.22,Gonzalez et al. (2010f),Density,Liquid mixture 1,Liquid mixture 2,,10,AAStyH,CC1CCCCC1,methylcyclohexane,AARlpN,Cc1ccccc1,toluene
aYeHf,0.003,298.15,101,1182.79,Gonzalez et al. (2010f),Density,Liquid mixture 1,Liquid mixture 2,,10,AAStyH,CC1CCCCC1,methylcyclohexane,AARlpN,Cc1ccccc1,toluene
aYeHf,0.004,298.15,101,1184.66,Gonzalez et al. (2010f),Density,Liquid mixture 1,Liquid mixture 2,,10,AAStyH,CC1CCCCC1,methylcyclohexane,AARlpN,Cc1ccccc1,toluene
aYeHf,0.006,298.15,101,1191.78,Gonzalez et al. (2010f),Density,Liquid mixture 1,Liquid mixture 2,,10,AAStyH,CC1CCCCC1,methylcyclohexane,AARlpN,Cc1ccccc1,toluene
aYeHf,0.009,298.15,101,1209.2,Gonzalez et al. (2010f),Density,Liquid mixture 1,Liquid mixture 2,,10,AAStyH,CC1CCCCC1,methylcyclohexane,AARlpN,Cc1ccccc1,toluene
aYeHf,0.012,298.15,101,1197.2,Gonzalez et al. (2010f),Density,Liquid mixture 1,Liquid mixture 2,,10,AAStyH,CC1CCCCC1,methylcyclohexane,AARlpN,Cc1ccccc1,toluene
aYeHf,0.012,298.15,101,1200.9,Gonzalez et al. (2010f),Density,Liquid mixture 1,Liquid mixture 2,,10,AAStyH,CC1CCCCC1,methylcyclohexane,AARlpN,Cc1ccccc1,toluene
aYeHf,0.016,298.15,101,1216.3,Gonzalez et al. (2010f),Density,Liquid mixture 1,Liquid mixture 2,,10,AAStyH,CC1CCCCC1,methylcyclohexane,AARlpN,Cc1ccccc1,toluene
