setid,"Temperature, K","MolaLity of N,N-dimethyl-N-(3-sulfopropyl)cyclohexanaminium 4-methylbenzenesulfonate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
YoLtq,303.15,0,101,782.4,Cai et al. (2017),Density,Liquid,ABdDxa,C[N+](C)(CCCS(=O)(=O)O)C1CCCCC1.Cc1ccc(S(=O)(=O)[O-])cc1,"N,N-dimethyl-N-(3-sulfopropyl)cyclohexanaminium 4-methylbenzenesulfonate",AAGIBL,CO,methanol,,,
YoLtq,303.15,0.4751,101,864.5,Cai et al. (2017),Density,Liquid,ABdDxa,C[N+](C)(CCCS(=O)(=O)O)C1CCCCC1.Cc1ccc(S(=O)(=O)[O-])cc1,"N,N-dimethyl-N-(3-sulfopropyl)cyclohexanaminium 4-methylbenzenesulfonate",AAGIBL,CO,methanol,,,
YoLtq,303.15,0.9501,101,945.8,Cai et al. (2017),Density,Liquid,ABdDxa,C[N+](C)(CCCS(=O)(=O)O)C1CCCCC1.Cc1ccc(S(=O)(=O)[O-])cc1,"N,N-dimethyl-N-(3-sulfopropyl)cyclohexanaminium 4-methylbenzenesulfonate",AAGIBL,CO,methanol,,,
YoLtq,303.15,1.4252,101,1043.8,Cai et al. (2017),Density,Liquid,ABdDxa,C[N+](C)(CCCS(=O)(=O)O)C1CCCCC1.Cc1ccc(S(=O)(=O)[O-])cc1,"N,N-dimethyl-N-(3-sulfopropyl)cyclohexanaminium 4-methylbenzenesulfonate",AAGIBL,CO,methanol,,,
YoLtq,303.15,1.9002,101,1144.5,Cai et al. (2017),Density,Liquid,ABdDxa,C[N+](C)(CCCS(=O)(=O)O)C1CCCCC1.Cc1ccc(S(=O)(=O)[O-])cc1,"N,N-dimethyl-N-(3-sulfopropyl)cyclohexanaminium 4-methylbenzenesulfonate",AAGIBL,CO,methanol,,,
YoLtq,303.15,2.3753,101,1249.7,Cai et al. (2017),Density,Liquid,ABdDxa,C[N+](C)(CCCS(=O)(=O)O)C1CCCCC1.Cc1ccc(S(=O)(=O)[O-])cc1,"N,N-dimethyl-N-(3-sulfopropyl)cyclohexanaminium 4-methylbenzenesulfonate",AAGIBL,CO,methanol,,,
YoLtq,308.15,0,101,777.9,Cai et al. (2017),Density,Liquid,ABdDxa,C[N+](C)(CCCS(=O)(=O)O)C1CCCCC1.Cc1ccc(S(=O)(=O)[O-])cc1,"N,N-dimethyl-N-(3-sulfopropyl)cyclohexanaminium 4-methylbenzenesulfonate",AAGIBL,CO,methanol,,,
YoLtq,308.15,0.4751,101,860.4,Cai et al. (2017),Density,Liquid,ABdDxa,C[N+](C)(CCCS(=O)(=O)O)C1CCCCC1.Cc1ccc(S(=O)(=O)[O-])cc1,"N,N-dimethyl-N-(3-sulfopropyl)cyclohexanaminium 4-methylbenzenesulfonate",AAGIBL,CO,methanol,,,
YoLtq,308.15,0.9501,101,941.9,Cai et al. (2017),Density,Liquid,ABdDxa,C[N+](C)(CCCS(=O)(=O)O)C1CCCCC1.Cc1ccc(S(=O)(=O)[O-])cc1,"N,N-dimethyl-N-(3-sulfopropyl)cyclohexanaminium 4-methylbenzenesulfonate",AAGIBL,CO,methanol,,,
YoLtq,308.15,1.4252,101,1040,Cai et al. (2017),Density,Liquid,ABdDxa,C[N+](C)(CCCS(=O)(=O)O)C1CCCCC1.Cc1ccc(S(=O)(=O)[O-])cc1,"N,N-dimethyl-N-(3-sulfopropyl)cyclohexanaminium 4-methylbenzenesulfonate",AAGIBL,CO,methanol,,,
YoLtq,308.15,1.9002,101,1141.1,Cai et al. (2017),Density,Liquid,ABdDxa,C[N+](C)(CCCS(=O)(=O)O)C1CCCCC1.Cc1ccc(S(=O)(=O)[O-])cc1,"N,N-dimethyl-N-(3-sulfopropyl)cyclohexanaminium 4-methylbenzenesulfonate",AAGIBL,CO,methanol,,,
YoLtq,308.15,2.3753,101,1248.3,Cai et al. (2017),Density,Liquid,ABdDxa,C[N+](C)(CCCS(=O)(=O)O)C1CCCCC1.Cc1ccc(S(=O)(=O)[O-])cc1,"N,N-dimethyl-N-(3-sulfopropyl)cyclohexanaminium 4-methylbenzenesulfonate",AAGIBL,CO,methanol,,,
YoLtq,313.15,0,101,773.6,Cai et al. (2017),Density,Liquid,ABdDxa,C[N+](C)(CCCS(=O)(=O)O)C1CCCCC1.Cc1ccc(S(=O)(=O)[O-])cc1,"N,N-dimethyl-N-(3-sulfopropyl)cyclohexanaminium 4-methylbenzenesulfonate",AAGIBL,CO,methanol,,,
YoLtq,313.15,0.4751,101,855.7,Cai et al. (2017),Density,Liquid,ABdDxa,C[N+](C)(CCCS(=O)(=O)O)C1CCCCC1.Cc1ccc(S(=O)(=O)[O-])cc1,"N,N-dimethyl-N-(3-sulfopropyl)cyclohexanaminium 4-methylbenzenesulfonate",AAGIBL,CO,methanol,,,
YoLtq,313.15,0.9501,101,937.5,Cai et al. (2017),Density,Liquid,ABdDxa,C[N+](C)(CCCS(=O)(=O)O)C1CCCCC1.Cc1ccc(S(=O)(=O)[O-])cc1,"N,N-dimethyl-N-(3-sulfopropyl)cyclohexanaminium 4-methylbenzenesulfonate",AAGIBL,CO,methanol,,,
YoLtq,313.15,1.4252,101,1035.8,Cai et al. (2017),Density,Liquid,ABdDxa,C[N+](C)(CCCS(=O)(=O)O)C1CCCCC1.Cc1ccc(S(=O)(=O)[O-])cc1,"N,N-dimethyl-N-(3-sulfopropyl)cyclohexanaminium 4-methylbenzenesulfonate",AAGIBL,CO,methanol,,,
YoLtq,313.15,1.9002,101,1138,Cai et al. (2017),Density,Liquid,ABdDxa,C[N+](C)(CCCS(=O)(=O)O)C1CCCCC1.Cc1ccc(S(=O)(=O)[O-])cc1,"N,N-dimethyl-N-(3-sulfopropyl)cyclohexanaminium 4-methylbenzenesulfonate",AAGIBL,CO,methanol,,,
YoLtq,313.15,2.3753,101,1246.4,Cai et al. (2017),Density,Liquid,ABdDxa,C[N+](C)(CCCS(=O)(=O)O)C1CCCCC1.Cc1ccc(S(=O)(=O)[O-])cc1,"N,N-dimethyl-N-(3-sulfopropyl)cyclohexanaminium 4-methylbenzenesulfonate",AAGIBL,CO,methanol,,,
YoLtq,318.15,0,101,769.1,Cai et al. (2017),Density,Liquid,ABdDxa,C[N+](C)(CCCS(=O)(=O)O)C1CCCCC1.Cc1ccc(S(=O)(=O)[O-])cc1,"N,N-dimethyl-N-(3-sulfopropyl)cyclohexanaminium 4-methylbenzenesulfonate",AAGIBL,CO,methanol,,,
YoLtq,318.15,0.4751,101,851.2,Cai et al. (2017),Density,Liquid,ABdDxa,C[N+](C)(CCCS(=O)(=O)O)C1CCCCC1.Cc1ccc(S(=O)(=O)[O-])cc1,"N,N-dimethyl-N-(3-sulfopropyl)cyclohexanaminium 4-methylbenzenesulfonate",AAGIBL,CO,methanol,,,
YoLtq,318.15,0.9501,101,933.6,Cai et al. (2017),Density,Liquid,ABdDxa,C[N+](C)(CCCS(=O)(=O)O)C1CCCCC1.Cc1ccc(S(=O)(=O)[O-])cc1,"N,N-dimethyl-N-(3-sulfopropyl)cyclohexanaminium 4-methylbenzenesulfonate",AAGIBL,CO,methanol,,,
YoLtq,318.15,1.4252,101,1032,Cai et al. (2017),Density,Liquid,ABdDxa,C[N+](C)(CCCS(=O)(=O)O)C1CCCCC1.Cc1ccc(S(=O)(=O)[O-])cc1,"N,N-dimethyl-N-(3-sulfopropyl)cyclohexanaminium 4-methylbenzenesulfonate",AAGIBL,CO,methanol,,,
YoLtq,318.15,1.9002,101,1134.6,Cai et al. (2017),Density,Liquid,ABdDxa,C[N+](C)(CCCS(=O)(=O)O)C1CCCCC1.Cc1ccc(S(=O)(=O)[O-])cc1,"N,N-dimethyl-N-(3-sulfopropyl)cyclohexanaminium 4-methylbenzenesulfonate",AAGIBL,CO,methanol,,,
