setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium methanesulfonate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Sbfts,298.15,0.3,101,1190,Anantharaj and Banerjee (2013),Density,Liquid,AADYJk,O,water,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
Sbfts,298.15,0.4,101,1212,Anantharaj and Banerjee (2013),Density,Liquid,AADYJk,O,water,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
Sbfts,298.15,0.5,101,1218,Anantharaj and Banerjee (2013),Density,Liquid,AADYJk,O,water,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
Sbfts,298.15,0.6,101,1221,Anantharaj and Banerjee (2013),Density,Liquid,AADYJk,O,water,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
Sbfts,298.15,0.7,101,1224,Anantharaj and Banerjee (2013),Density,Liquid,AADYJk,O,water,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
Sbfts,298.15,0.8,101,1231,Anantharaj and Banerjee (2013),Density,Liquid,AADYJk,O,water,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
Sbfts,303.15,0.3,101,1187,Anantharaj and Banerjee (2013),Density,Liquid,AADYJk,O,water,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
Sbfts,303.15,0.4,101,1208,Anantharaj and Banerjee (2013),Density,Liquid,AADYJk,O,water,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
Sbfts,303.15,0.5,101,1215,Anantharaj and Banerjee (2013),Density,Liquid,AADYJk,O,water,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
Sbfts,303.15,0.6,101,1218,Anantharaj and Banerjee (2013),Density,Liquid,AADYJk,O,water,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
Sbfts,303.15,0.7,101,1221,Anantharaj and Banerjee (2013),Density,Liquid,AADYJk,O,water,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
Sbfts,303.15,0.8,101,1228,Anantharaj and Banerjee (2013),Density,Liquid,AADYJk,O,water,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
Sbfts,308.15,0.3,101,1184,Anantharaj and Banerjee (2013),Density,Liquid,AADYJk,O,water,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
Sbfts,308.15,0.4,101,1205,Anantharaj and Banerjee (2013),Density,Liquid,AADYJk,O,water,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
Sbfts,308.15,0.5,101,1212,Anantharaj and Banerjee (2013),Density,Liquid,AADYJk,O,water,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
Sbfts,308.15,0.6,101,1215,Anantharaj and Banerjee (2013),Density,Liquid,AADYJk,O,water,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
Sbfts,308.15,0.7,101,1218,Anantharaj and Banerjee (2013),Density,Liquid,AADYJk,O,water,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
Sbfts,308.15,0.8,101,1225,Anantharaj and Banerjee (2013),Density,Liquid,AADYJk,O,water,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
Sbfts,313.15,0.3,101,1180,Anantharaj and Banerjee (2013),Density,Liquid,AADYJk,O,water,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
Sbfts,313.15,0.4,101,1202,Anantharaj and Banerjee (2013),Density,Liquid,AADYJk,O,water,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
Sbfts,313.15,0.5,101,1209,Anantharaj and Banerjee (2013),Density,Liquid,AADYJk,O,water,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
Sbfts,313.15,0.6,101,1211,Anantharaj and Banerjee (2013),Density,Liquid,AADYJk,O,water,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
Sbfts,313.15,0.7,101,1214,Anantharaj and Banerjee (2013),Density,Liquid,AADYJk,O,water,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
Sbfts,313.15,0.8,101,1221,Anantharaj and Banerjee (2013),Density,Liquid,AADYJk,O,water,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
Sbfts,318.15,0.3,101,1177,Anantharaj and Banerjee (2013),Density,Liquid,AADYJk,O,water,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
Sbfts,318.15,0.4,101,1198,Anantharaj and Banerjee (2013),Density,Liquid,AADYJk,O,water,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
Sbfts,318.15,0.5,101,1205,Anantharaj and Banerjee (2013),Density,Liquid,AADYJk,O,water,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
Sbfts,318.15,0.6,101,1208,Anantharaj and Banerjee (2013),Density,Liquid,AADYJk,O,water,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
