setid,"Temperature, K",Mole fraction of 1-(4-methoxybutyl)-3-methylimidazolium glycinate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
QAykr,288.15,0,100,1105.2,Wang et al. (2022k),Density,Liquid,AAupbB,COCCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium glycinate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
QAykr,288.15,0.1009,100,1140.5,Wang et al. (2022k),Density,Liquid,AAupbB,COCCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium glycinate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
QAykr,288.15,0.1984,100,1151.1,Wang et al. (2022k),Density,Liquid,AAupbB,COCCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium glycinate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
QAykr,288.15,0.299,100,1154.6,Wang et al. (2022k),Density,Liquid,AAupbB,COCCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium glycinate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
QAykr,288.15,0.3986,100,1157,Wang et al. (2022k),Density,Liquid,AAupbB,COCCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium glycinate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
QAykr,288.15,0.4986,100,1160,Wang et al. (2022k),Density,Liquid,AAupbB,COCCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium glycinate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
QAykr,288.15,0.6006,100,1162.9,Wang et al. (2022k),Density,Liquid,AAupbB,COCCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium glycinate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
QAykr,288.15,0.701,100,1165.1,Wang et al. (2022k),Density,Liquid,AAupbB,COCCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium glycinate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
QAykr,288.15,0.7941,100,1166.1,Wang et al. (2022k),Density,Liquid,AAupbB,COCCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium glycinate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
QAykr,288.15,0.907,100,1167,Wang et al. (2022k),Density,Liquid,AAupbB,COCCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium glycinate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
QAykr,288.15,1,100,1168.8,Wang et al. (2022k),Density,Liquid,AAupbB,COCCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium glycinate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
QAykr,293.15,0,100,1100.3,Wang et al. (2022k),Density,Liquid,AAupbB,COCCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium glycinate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
QAykr,293.15,0.1009,100,1135.8,Wang et al. (2022k),Density,Liquid,AAupbB,COCCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium glycinate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
QAykr,293.15,0.1984,100,1146.9,Wang et al. (2022k),Density,Liquid,AAupbB,COCCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium glycinate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
QAykr,293.15,0.299,100,1150.7,Wang et al. (2022k),Density,Liquid,AAupbB,COCCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium glycinate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
QAykr,293.15,0.3986,100,1153.4,Wang et al. (2022k),Density,Liquid,AAupbB,COCCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium glycinate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
QAykr,293.15,0.4986,100,1156.3,Wang et al. (2022k),Density,Liquid,AAupbB,COCCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium glycinate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
QAykr,293.15,0.6006,100,1159.4,Wang et al. (2022k),Density,Liquid,AAupbB,COCCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium glycinate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
QAykr,293.15,0.701,100,1161.6,Wang et al. (2022k),Density,Liquid,AAupbB,COCCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium glycinate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
QAykr,293.15,0.7941,100,1162.8,Wang et al. (2022k),Density,Liquid,AAupbB,COCCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium glycinate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
QAykr,293.15,0.907,100,1163.8,Wang et al. (2022k),Density,Liquid,AAupbB,COCCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium glycinate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
QAykr,293.15,1,100,1165.4,Wang et al. (2022k),Density,Liquid,AAupbB,COCCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium glycinate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
QAykr,298.15,0,100,1095.2,Wang et al. (2022k),Density,Liquid,AAupbB,COCCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium glycinate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
QAykr,298.15,0.1009,100,1131.7,Wang et al. (2022k),Density,Liquid,AAupbB,COCCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium glycinate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
QAykr,298.15,0.1984,100,1142.6,Wang et al. (2022k),Density,Liquid,AAupbB,COCCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium glycinate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
