setid,"Temperature, K","MolaLity of tetraphenylphosphorane bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
NJGPL,283.15,0,101,958.1,Placzek et al. (2007),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
NJGPL,283.15,0.01828,101,960.5,Placzek et al. (2007),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
NJGPL,283.15,0.02382,101,961.3,Placzek et al. (2007),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
NJGPL,283.15,0.03591,101,962.9,Placzek et al. (2007),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
NJGPL,283.15,0.04822,101,964.5,Placzek et al. (2007),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
NJGPL,283.15,0.06013,101,966.1,Placzek et al. (2007),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
NJGPL,283.15,0.07767,101,968.5,Placzek et al. (2007),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
NJGPL,283.15,0.09583,101,971,Placzek et al. (2007),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
NJGPL,283.15,0.107,101,972.5,Placzek et al. (2007),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
NJGPL,283.15,0.1196,101,974.2,Placzek et al. (2007),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
NJGPL,293.15,0,101,948.5,Placzek et al. (2007),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
NJGPL,293.15,0.01828,101,951,Placzek et al. (2007),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
NJGPL,293.15,0.02382,101,951.8,Placzek et al. (2007),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
NJGPL,293.15,0.03591,101,953.4,Placzek et al. (2007),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
NJGPL,293.15,0.04822,101,955.1,Placzek et al. (2007),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
NJGPL,293.15,0.06013,101,956.7,Placzek et al. (2007),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
NJGPL,293.15,0.07767,101,959.1,Placzek et al. (2007),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
NJGPL,293.15,0.09583,101,961.5,Placzek et al. (2007),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
NJGPL,293.15,0.107,101,963.1,Placzek et al. (2007),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
NJGPL,293.15,0.1196,101,964.8,Placzek et al. (2007),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
NJGPL,298.15,0,101,943.8,Placzek et al. (2007),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
NJGPL,298.15,0.01828,101,946.3,Placzek et al. (2007),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
