setid,Weight fraction of hexane,Weight fraction of ethanol,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
lXVkV,0,0,313.15,101,1267.81,Corderi and Gonzalez (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAQdzy,CCCCCC,hexane,ABFdjO,CCCC[n+]1cccc(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylpyridinium trifluoromethanesulfonate
lXVkV,0,0.017,313.15,101,1255.1,Corderi and Gonzalez (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAQdzy,CCCCCC,hexane,ABFdjO,CCCC[n+]1cccc(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylpyridinium trifluoromethanesulfonate
lXVkV,0,0.036,313.15,101,1240.8,Corderi and Gonzalez (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAQdzy,CCCCCC,hexane,ABFdjO,CCCC[n+]1cccc(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylpyridinium trifluoromethanesulfonate
lXVkV,0,0.062,313.15,101,1221.7,Corderi and Gonzalez (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAQdzy,CCCCCC,hexane,ABFdjO,CCCC[n+]1cccc(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylpyridinium trifluoromethanesulfonate
lXVkV,0,0.093,313.15,101,1199.5,Corderi and Gonzalez (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAQdzy,CCCCCC,hexane,ABFdjO,CCCC[n+]1cccc(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylpyridinium trifluoromethanesulfonate
lXVkV,0,0.134,313.15,101,1171.5,Corderi and Gonzalez (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAQdzy,CCCCCC,hexane,ABFdjO,CCCC[n+]1cccc(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylpyridinium trifluoromethanesulfonate
lXVkV,0,0.19,313.15,101,1134.9,Corderi and Gonzalez (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAQdzy,CCCCCC,hexane,ABFdjO,CCCC[n+]1cccc(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylpyridinium trifluoromethanesulfonate
lXVkV,0,0.267,313.15,101,1088.3,Corderi and Gonzalez (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAQdzy,CCCCCC,hexane,ABFdjO,CCCC[n+]1cccc(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylpyridinium trifluoromethanesulfonate
lXVkV,0,0.396,313.15,101,1017.7,Corderi and Gonzalez (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAQdzy,CCCCCC,hexane,ABFdjO,CCCC[n+]1cccc(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylpyridinium trifluoromethanesulfonate
lXVkV,0,0.577,313.15,101,931.55,Corderi and Gonzalez (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAQdzy,CCCCCC,hexane,ABFdjO,CCCC[n+]1cccc(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylpyridinium trifluoromethanesulfonate
