setid,"Temperature, K","MolaLity of hexyltrimethylammonium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
PXugN,293.15,0,101,998.209,Patil et al. (2016),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
PXugN,293.15,0.04932,101,999.719,Patil et al. (2016),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
PXugN,293.15,0.07746,101,1000.55,Patil et al. (2016),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
PXugN,293.15,0.08812,101,1000.88,Patil et al. (2016),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
PXugN,293.15,0.1186,101,1001.76,Patil et al. (2016),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
PXugN,293.15,0.17743,101,1003.49,Patil et al. (2016),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
PXugN,293.15,0.18545,101,1003.72,Patil et al. (2016),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
PXugN,293.15,0.27571,101,1006.26,Patil et al. (2016),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
PXugN,293.15,0.37119,101,1008.99,Patil et al. (2016),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
PXugN,293.15,0.4703,101,1011.8,Patil et al. (2016),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
PXugN,293.15,0.52739,101,1013.14,Patil et al. (2016),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
PXugN,293.15,0.58026,101,1014.75,Patil et al. (2016),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
PXugN,293.15,0.63595,101,1016.19,Patil et al. (2016),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
PXugN,298.15,0,101,997.043,Patil et al. (2016),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
PXugN,298.15,0.04932,101,998.528,Patil et al. (2016),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
PXugN,298.15,0.07746,101,999.34,Patil et al. (2016),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
PXugN,298.15,0.08812,101,999.654,Patil et al. (2016),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
PXugN,298.15,0.1186,101,1000.52,Patil et al. (2016),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
PXugN,298.15,0.17743,101,1002.19,Patil et al. (2016),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
PXugN,298.15,0.18545,101,1002.41,Patil et al. (2016),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
PXugN,298.15,0.27571,101,1004.93,Patil et al. (2016),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
PXugN,298.15,0.37119,101,1007.66,Patil et al. (2016),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
PXugN,298.15,0.4703,101,1010.34,Patil et al. (2016),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
PXugN,298.15,0.52739,101,1011.76,Patil et al. (2016),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
PXugN,298.15,0.58026,101,1013.13,Patil et al. (2016),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
PXugN,298.15,0.63595,101,1014.59,Patil et al. (2016),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
