setid,"Temperature, K",Mole fraction of lithium cyano(trifluoromethanesulfonyl)imide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
mHNHq,293,0,101,1235.8,Penley et al. (2022),Density,Liquid,AAigVB,[Li+].[N-](C#N)S(=O)(=O)C(F)(F)F,lithium cyano(trifluoromethanesulfonyl)imide,ABIhFX,CCCC[N+]1(CCCC1)C.[N-](C#N)S(=O)(=O)C(F)(F)F,N-methyl-N-butylpyrrolidinium cyano(trifluoromethanesulfonyl)imide,,,
mHNHq,293,0.05,101,1247.4,Penley et al. (2022),Density,Liquid,AAigVB,[Li+].[N-](C#N)S(=O)(=O)C(F)(F)F,lithium cyano(trifluoromethanesulfonyl)imide,ABIhFX,CCCC[N+]1(CCCC1)C.[N-](C#N)S(=O)(=O)C(F)(F)F,N-methyl-N-butylpyrrolidinium cyano(trifluoromethanesulfonyl)imide,,,
mHNHq,293,0.1,101,1259.2,Penley et al. (2022),Density,Liquid,AAigVB,[Li+].[N-](C#N)S(=O)(=O)C(F)(F)F,lithium cyano(trifluoromethanesulfonyl)imide,ABIhFX,CCCC[N+]1(CCCC1)C.[N-](C#N)S(=O)(=O)C(F)(F)F,N-methyl-N-butylpyrrolidinium cyano(trifluoromethanesulfonyl)imide,,,
mHNHq,293,0.2,101,1285,Penley et al. (2022),Density,Liquid,AAigVB,[Li+].[N-](C#N)S(=O)(=O)C(F)(F)F,lithium cyano(trifluoromethanesulfonyl)imide,ABIhFX,CCCC[N+]1(CCCC1)C.[N-](C#N)S(=O)(=O)C(F)(F)F,N-methyl-N-butylpyrrolidinium cyano(trifluoromethanesulfonyl)imide,,,
mHNHq,298,0,101,1232,Penley et al. (2022),Density,Liquid,AAigVB,[Li+].[N-](C#N)S(=O)(=O)C(F)(F)F,lithium cyano(trifluoromethanesulfonyl)imide,ABIhFX,CCCC[N+]1(CCCC1)C.[N-](C#N)S(=O)(=O)C(F)(F)F,N-methyl-N-butylpyrrolidinium cyano(trifluoromethanesulfonyl)imide,,,
mHNHq,298,0.05,101,1243.6,Penley et al. (2022),Density,Liquid,AAigVB,[Li+].[N-](C#N)S(=O)(=O)C(F)(F)F,lithium cyano(trifluoromethanesulfonyl)imide,ABIhFX,CCCC[N+]1(CCCC1)C.[N-](C#N)S(=O)(=O)C(F)(F)F,N-methyl-N-butylpyrrolidinium cyano(trifluoromethanesulfonyl)imide,,,
mHNHq,298,0.1,101,1255.5,Penley et al. (2022),Density,Liquid,AAigVB,[Li+].[N-](C#N)S(=O)(=O)C(F)(F)F,lithium cyano(trifluoromethanesulfonyl)imide,ABIhFX,CCCC[N+]1(CCCC1)C.[N-](C#N)S(=O)(=O)C(F)(F)F,N-methyl-N-butylpyrrolidinium cyano(trifluoromethanesulfonyl)imide,,,
mHNHq,298,0.2,101,1281.2,Penley et al. (2022),Density,Liquid,AAigVB,[Li+].[N-](C#N)S(=O)(=O)C(F)(F)F,lithium cyano(trifluoromethanesulfonyl)imide,ABIhFX,CCCC[N+]1(CCCC1)C.[N-](C#N)S(=O)(=O)C(F)(F)F,N-methyl-N-butylpyrrolidinium cyano(trifluoromethanesulfonyl)imide,,,
mHNHq,303,0,101,1228.3,Penley et al. (2022),Density,Liquid,AAigVB,[Li+].[N-](C#N)S(=O)(=O)C(F)(F)F,lithium cyano(trifluoromethanesulfonyl)imide,ABIhFX,CCCC[N+]1(CCCC1)C.[N-](C#N)S(=O)(=O)C(F)(F)F,N-methyl-N-butylpyrrolidinium cyano(trifluoromethanesulfonyl)imide,,,
mHNHq,303,0.05,101,1239.9,Penley et al. (2022),Density,Liquid,AAigVB,[Li+].[N-](C#N)S(=O)(=O)C(F)(F)F,lithium cyano(trifluoromethanesulfonyl)imide,ABIhFX,CCCC[N+]1(CCCC1)C.[N-](C#N)S(=O)(=O)C(F)(F)F,N-methyl-N-butylpyrrolidinium cyano(trifluoromethanesulfonyl)imide,,,
mHNHq,303,0.1,101,1251.7,Penley et al. (2022),Density,Liquid,AAigVB,[Li+].[N-](C#N)S(=O)(=O)C(F)(F)F,lithium cyano(trifluoromethanesulfonyl)imide,ABIhFX,CCCC[N+]1(CCCC1)C.[N-](C#N)S(=O)(=O)C(F)(F)F,N-methyl-N-butylpyrrolidinium cyano(trifluoromethanesulfonyl)imide,,,
mHNHq,303,0.2,101,1277.5,Penley et al. (2022),Density,Liquid,AAigVB,[Li+].[N-](C#N)S(=O)(=O)C(F)(F)F,lithium cyano(trifluoromethanesulfonyl)imide,ABIhFX,CCCC[N+]1(CCCC1)C.[N-](C#N)S(=O)(=O)C(F)(F)F,N-methyl-N-butylpyrrolidinium cyano(trifluoromethanesulfonyl)imide,,,
mHNHq,308,0,101,1224.6,Penley et al. (2022),Density,Liquid,AAigVB,[Li+].[N-](C#N)S(=O)(=O)C(F)(F)F,lithium cyano(trifluoromethanesulfonyl)imide,ABIhFX,CCCC[N+]1(CCCC1)C.[N-](C#N)S(=O)(=O)C(F)(F)F,N-methyl-N-butylpyrrolidinium cyano(trifluoromethanesulfonyl)imide,,,
mHNHq,308,0.05,101,1236.2,Penley et al. (2022),Density,Liquid,AAigVB,[Li+].[N-](C#N)S(=O)(=O)C(F)(F)F,lithium cyano(trifluoromethanesulfonyl)imide,ABIhFX,CCCC[N+]1(CCCC1)C.[N-](C#N)S(=O)(=O)C(F)(F)F,N-methyl-N-butylpyrrolidinium cyano(trifluoromethanesulfonyl)imide,,,
mHNHq,308,0.1,101,1248,Penley et al. (2022),Density,Liquid,AAigVB,[Li+].[N-](C#N)S(=O)(=O)C(F)(F)F,lithium cyano(trifluoromethanesulfonyl)imide,ABIhFX,CCCC[N+]1(CCCC1)C.[N-](C#N)S(=O)(=O)C(F)(F)F,N-methyl-N-butylpyrrolidinium cyano(trifluoromethanesulfonyl)imide,,,
mHNHq,308,0.2,101,1275.7,Penley et al. (2022),Density,Liquid,AAigVB,[Li+].[N-](C#N)S(=O)(=O)C(F)(F)F,lithium cyano(trifluoromethanesulfonyl)imide,ABIhFX,CCCC[N+]1(CCCC1)C.[N-](C#N)S(=O)(=O)C(F)(F)F,N-methyl-N-butylpyrrolidinium cyano(trifluoromethanesulfonyl)imide,,,
mHNHq,313,0,101,1220.9,Penley et al. (2022),Density,Liquid,AAigVB,[Li+].[N-](C#N)S(=O)(=O)C(F)(F)F,lithium cyano(trifluoromethanesulfonyl)imide,ABIhFX,CCCC[N+]1(CCCC1)C.[N-](C#N)S(=O)(=O)C(F)(F)F,N-methyl-N-butylpyrrolidinium cyano(trifluoromethanesulfonyl)imide,,,
mHNHq,313,0.05,101,1232.5,Penley et al. (2022),Density,Liquid,AAigVB,[Li+].[N-](C#N)S(=O)(=O)C(F)(F)F,lithium cyano(trifluoromethanesulfonyl)imide,ABIhFX,CCCC[N+]1(CCCC1)C.[N-](C#N)S(=O)(=O)C(F)(F)F,N-methyl-N-butylpyrrolidinium cyano(trifluoromethanesulfonyl)imide,,,
mHNHq,313,0.1,101,1244.3,Penley et al. (2022),Density,Liquid,AAigVB,[Li+].[N-](C#N)S(=O)(=O)C(F)(F)F,lithium cyano(trifluoromethanesulfonyl)imide,ABIhFX,CCCC[N+]1(CCCC1)C.[N-](C#N)S(=O)(=O)C(F)(F)F,N-methyl-N-butylpyrrolidinium cyano(trifluoromethanesulfonyl)imide,,,
mHNHq,313,0.2,101,1270.1,Penley et al. (2022),Density,Liquid,AAigVB,[Li+].[N-](C#N)S(=O)(=O)C(F)(F)F,lithium cyano(trifluoromethanesulfonyl)imide,ABIhFX,CCCC[N+]1(CCCC1)C.[N-](C#N)S(=O)(=O)C(F)(F)F,N-methyl-N-butylpyrrolidinium cyano(trifluoromethanesulfonyl)imide,,,
mHNHq,318,0,101,1217.2,Penley et al. (2022),Density,Liquid,AAigVB,[Li+].[N-](C#N)S(=O)(=O)C(F)(F)F,lithium cyano(trifluoromethanesulfonyl)imide,ABIhFX,CCCC[N+]1(CCCC1)C.[N-](C#N)S(=O)(=O)C(F)(F)F,N-methyl-N-butylpyrrolidinium cyano(trifluoromethanesulfonyl)imide,,,
