setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium thiocyanate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
DaXfB,298.15,0,101,997.04,Domanska et al. (2010c),Density,Liquid,AADYJk,O,water,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
DaXfB,298.15,0.0248,101,1016,Domanska et al. (2010c),Density,Liquid,AADYJk,O,water,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
DaXfB,298.15,0.0635,101,1036.86,Domanska et al. (2010c),Density,Liquid,AADYJk,O,water,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
DaXfB,298.15,0.1377,101,1062.14,Domanska et al. (2010c),Density,Liquid,AADYJk,O,water,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
DaXfB,298.15,0.2145,101,1077.88,Domanska et al. (2010c),Density,Liquid,AADYJk,O,water,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
DaXfB,298.15,0.3381,101,1092.51,Domanska et al. (2010c),Density,Liquid,AADYJk,O,water,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
DaXfB,298.15,0.4198,101,1098.72,Domanska et al. (2010c),Density,Liquid,AADYJk,O,water,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
DaXfB,298.15,0.5599,101,1105.92,Domanska et al. (2010c),Density,Liquid,AADYJk,O,water,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
DaXfB,298.15,0.6524,101,1109.2,Domanska et al. (2010c),Density,Liquid,AADYJk,O,water,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
DaXfB,298.15,0.7369,101,1111.59,Domanska et al. (2010c),Density,Liquid,AADYJk,O,water,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
DaXfB,298.15,0.8256,101,1113.68,Domanska et al. (2010c),Density,Liquid,AADYJk,O,water,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
DaXfB,298.15,0.9263,101,1115.64,Domanska et al. (2010c),Density,Liquid,AADYJk,O,water,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
DaXfB,298.15,1,101,1116.8,Domanska et al. (2010c),Density,Liquid,AADYJk,O,water,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
DaXfB,308.15,0,101,992.03,Domanska et al. (2010c),Density,Liquid,AADYJk,O,water,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
DaXfB,308.15,0.0248,101,1010.56,Domanska et al. (2010c),Density,Liquid,AADYJk,O,water,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
DaXfB,308.15,0.0635,101,1031.47,Domanska et al. (2010c),Density,Liquid,AADYJk,O,water,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
DaXfB,308.15,0.1377,101,1056.21,Domanska et al. (2010c),Density,Liquid,AADYJk,O,water,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
DaXfB,308.15,0.2145,101,1071.45,Domanska et al. (2010c),Density,Liquid,AADYJk,O,water,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
DaXfB,308.15,0.3381,101,1086.08,Domanska et al. (2010c),Density,Liquid,AADYJk,O,water,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
