setid,"Temperature, K","Mole fraction of 1,3-dimethylimidazolium methylsulfate","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
frUgG,298,0,101.3,800,Alkhaldi et al. (2017a),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
frUgG,298,0.039,101.3,843,Alkhaldi et al. (2017a),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
frUgG,298,0.208,101.3,995,Alkhaldi et al. (2017a),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
frUgG,298,0.382,101.3,1107,Alkhaldi et al. (2017a),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
frUgG,298,0.561,101.3,1193,Alkhaldi et al. (2017a),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
frUgG,298,0.702,101.3,1246,Alkhaldi et al. (2017a),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
frUgG,298,0.912,101.3,1307,Alkhaldi et al. (2017a),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
frUgG,298,1,101.3,1329,Alkhaldi et al. (2017a),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
frUgG,303,0,101.3,796,Alkhaldi et al. (2017a),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
frUgG,303,0.039,101.3,839,Alkhaldi et al. (2017a),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
frUgG,303,0.208,101.3,989,Alkhaldi et al. (2017a),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
frUgG,303,0.382,101.3,1100,Alkhaldi et al. (2017a),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
frUgG,303,0.561,101.3,1186,Alkhaldi et al. (2017a),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
frUgG,303,0.702,101.3,1239,Alkhaldi et al. (2017a),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
frUgG,303,0.912,101.3,1301,Alkhaldi et al. (2017a),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
frUgG,303,1,101.3,1322,Alkhaldi et al. (2017a),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
frUgG,308,0,101.3,792,Alkhaldi et al. (2017a),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
frUgG,308,0.039,101.3,834,Alkhaldi et al. (2017a),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
frUgG,308,0.208,101.3,984,Alkhaldi et al. (2017a),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
frUgG,308,0.382,101.3,1095,Alkhaldi et al. (2017a),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
frUgG,308,0.561,101.3,1181,Alkhaldi et al. (2017a),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
frUgG,308,0.702,101.3,1234,Alkhaldi et al. (2017a),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
frUgG,308,0.912,101.3,1297,Alkhaldi et al. (2017a),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
frUgG,308,1,101.3,1319,Alkhaldi et al. (2017a),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
frUgG,313,0,101.3,789,Alkhaldi et al. (2017a),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
frUgG,313,0.039,101.3,830,Alkhaldi et al. (2017a),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
frUgG,313,0.208,101.3,979,Alkhaldi et al. (2017a),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
frUgG,313,0.382,101.3,1090,Alkhaldi et al. (2017a),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
frUgG,313,0.561,101.3,1176,Alkhaldi et al. (2017a),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
