setid,"Temperature, K","Solvent: MolaLity of 1-ethyl-3-methylimidazolium hydrogen sulfate, mol/kg","MolaLity of trilithium citrate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
OxTPV,308.15,0,0.1529,100,1013.7,Devi et al. (2022),Density,Liquid,AAoTqw,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Li+].[Li+].[Li+],trilithium citrate,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
OxTPV,308.15,0.0369,0,100,996.5,Devi et al. (2022),Density,Liquid,AAoTqw,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Li+].[Li+].[Li+],trilithium citrate,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
OxTPV,308.15,0.0369,0.0448,100,1002.4,Devi et al. (2022),Density,Liquid,AAoTqw,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Li+].[Li+].[Li+],trilithium citrate,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
OxTPV,308.15,0.0369,0.0529,100,1003.5,Devi et al. (2022),Density,Liquid,AAoTqw,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Li+].[Li+].[Li+],trilithium citrate,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
OxTPV,308.15,0.0369,0.0873,100,1007.9,Devi et al. (2022),Density,Liquid,AAoTqw,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Li+].[Li+].[Li+],trilithium citrate,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
OxTPV,308.15,0.0369,0.0962,100,1009.1,Devi et al. (2022),Density,Liquid,AAoTqw,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Li+].[Li+].[Li+],trilithium citrate,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
OxTPV,308.15,0.0369,0.1238,100,1012.6,Devi et al. (2022),Density,Liquid,AAoTqw,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Li+].[Li+].[Li+],trilithium citrate,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
OxTPV,308.15,0.0369,0.1432,100,1015,Devi et al. (2022),Density,Liquid,AAoTqw,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Li+].[Li+].[Li+],trilithium citrate,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
OxTPV,308.15,0.0405,0,100,996.8,Devi et al. (2022),Density,Liquid,AAoTqw,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Li+].[Li+].[Li+],trilithium citrate,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
OxTPV,308.15,0.0405,0.0445,100,1002.6,Devi et al. (2022),Density,Liquid,AAoTqw,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Li+].[Li+].[Li+],trilithium citrate,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
OxTPV,308.15,0.0405,0.0528,100,1003.7,Devi et al. (2022),Density,Liquid,AAoTqw,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Li+].[Li+].[Li+],trilithium citrate,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
OxTPV,308.15,0.0405,0.0826,100,1007.6,Devi et al. (2022),Density,Liquid,AAoTqw,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Li+].[Li+].[Li+],trilithium citrate,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
OxTPV,308.15,0.0405,0.0946,100,1009.1,Devi et al. (2022),Density,Liquid,AAoTqw,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Li+].[Li+].[Li+],trilithium citrate,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
OxTPV,308.15,0.0405,0.1237,100,1012.8,Devi et al. (2022),Density,Liquid,AAoTqw,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Li+].[Li+].[Li+],trilithium citrate,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
OxTPV,308.15,0.0405,0.1454,100,1015.6,Devi et al. (2022),Density,Liquid,AAoTqw,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Li+].[Li+].[Li+],trilithium citrate,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
OxTPV,308.15,0.0514,0,100,997.5,Devi et al. (2022),Density,Liquid,AAoTqw,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Li+].[Li+].[Li+],trilithium citrate,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
OxTPV,308.15,0.0514,0.0453,100,1003.5,Devi et al. (2022),Density,Liquid,AAoTqw,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Li+].[Li+].[Li+],trilithium citrate,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
OxTPV,308.15,0.0514,0.0624,100,1005.7,Devi et al. (2022),Density,Liquid,AAoTqw,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Li+].[Li+].[Li+],trilithium citrate,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
OxTPV,308.15,0.0514,0.0737,100,1007.2,Devi et al. (2022),Density,Liquid,AAoTqw,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Li+].[Li+].[Li+],trilithium citrate,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
OxTPV,308.15,0.0514,0.0984,100,1010.4,Devi et al. (2022),Density,Liquid,AAoTqw,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Li+].[Li+].[Li+],trilithium citrate,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
OxTPV,308.15,0.0514,0.1263,100,1014,Devi et al. (2022),Density,Liquid,AAoTqw,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Li+].[Li+].[Li+],trilithium citrate,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
OxTPV,308.15,0.0514,0.1482,100,1016.7,Devi et al. (2022),Density,Liquid,AAoTqw,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Li+].[Li+].[Li+],trilithium citrate,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
OxTPV,313.15,0,0,100,992.2,Devi et al. (2022),Density,Liquid,AAoTqw,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Li+].[Li+].[Li+],trilithium citrate,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
OxTPV,313.15,0,0.0202,100,994.9,Devi et al. (2022),Density,Liquid,AAoTqw,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Li+].[Li+].[Li+],trilithium citrate,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
OxTPV,313.15,0,0.0405,100,997.5,Devi et al. (2022),Density,Liquid,AAoTqw,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Li+].[Li+].[Li+],trilithium citrate,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
OxTPV,313.15,0,0.0606,100,1000.1,Devi et al. (2022),Density,Liquid,AAoTqw,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Li+].[Li+].[Li+],trilithium citrate,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
OxTPV,313.15,0,0.0803,100,1002.7,Devi et al. (2022),Density,Liquid,AAoTqw,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Li+].[Li+].[Li+],trilithium citrate,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
OxTPV,313.15,0,0.0997,100,1005.1,Devi et al. (2022),Density,Liquid,AAoTqw,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Li+].[Li+].[Li+],trilithium citrate,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
OxTPV,313.15,0,0.1238,100,1008.2,Devi et al. (2022),Density,Liquid,AAoTqw,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Li+].[Li+].[Li+],trilithium citrate,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
OxTPV,313.15,0,0.1529,100,1011.8,Devi et al. (2022),Density,Liquid,AAoTqw,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Li+].[Li+].[Li+],trilithium citrate,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
OxTPV,313.15,0.0369,0,100,994.7,Devi et al. (2022),Density,Liquid,AAoTqw,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Li+].[Li+].[Li+],trilithium citrate,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
OxTPV,313.15,0.0369,0.0448,100,1000.5,Devi et al. (2022),Density,Liquid,AAoTqw,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Li+].[Li+].[Li+],trilithium citrate,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
OxTPV,313.15,0.0369,0.0529,100,1001.6,Devi et al. (2022),Density,Liquid,AAoTqw,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Li+].[Li+].[Li+],trilithium citrate,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
OxTPV,313.15,0.0369,0.0873,100,1006,Devi et al. (2022),Density,Liquid,AAoTqw,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Li+].[Li+].[Li+],trilithium citrate,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
OxTPV,313.15,0.0369,0.0962,100,1007.2,Devi et al. (2022),Density,Liquid,AAoTqw,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Li+].[Li+].[Li+],trilithium citrate,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
OxTPV,313.15,0.0369,0.1238,100,1010.7,Devi et al. (2022),Density,Liquid,AAoTqw,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Li+].[Li+].[Li+],trilithium citrate,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
OxTPV,313.15,0.0369,0.1432,100,1013.1,Devi et al. (2022),Density,Liquid,AAoTqw,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Li+].[Li+].[Li+],trilithium citrate,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
OxTPV,313.15,0.0405,0,100,994.9,Devi et al. (2022),Density,Liquid,AAoTqw,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Li+].[Li+].[Li+],trilithium citrate,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
OxTPV,313.15,0.0405,0.0445,100,1000.7,Devi et al. (2022),Density,Liquid,AAoTqw,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Li+].[Li+].[Li+],trilithium citrate,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
OxTPV,313.15,0.0405,0.0528,100,1001.8,Devi et al. (2022),Density,Liquid,AAoTqw,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Li+].[Li+].[Li+],trilithium citrate,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
OxTPV,313.15,0.0405,0.0826,100,1005.7,Devi et al. (2022),Density,Liquid,AAoTqw,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Li+].[Li+].[Li+],trilithium citrate,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
OxTPV,313.15,0.0405,0.0946,100,1007.2,Devi et al. (2022),Density,Liquid,AAoTqw,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Li+].[Li+].[Li+],trilithium citrate,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
OxTPV,313.15,0.0405,0.1237,100,1010.9,Devi et al. (2022),Density,Liquid,AAoTqw,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Li+].[Li+].[Li+],trilithium citrate,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
OxTPV,313.15,0.0405,0.1454,100,1013.7,Devi et al. (2022),Density,Liquid,AAoTqw,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Li+].[Li+].[Li+],trilithium citrate,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
OxTPV,313.15,0.0514,0,100,995.6,Devi et al. (2022),Density,Liquid,AAoTqw,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Li+].[Li+].[Li+],trilithium citrate,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
OxTPV,313.15,0.0514,0.0453,100,1001.6,Devi et al. (2022),Density,Liquid,AAoTqw,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Li+].[Li+].[Li+],trilithium citrate,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
OxTPV,313.15,0.0514,0.0624,100,1003.8,Devi et al. (2022),Density,Liquid,AAoTqw,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Li+].[Li+].[Li+],trilithium citrate,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
OxTPV,313.15,0.0514,0.0737,100,1005.3,Devi et al. (2022),Density,Liquid,AAoTqw,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Li+].[Li+].[Li+],trilithium citrate,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
OxTPV,313.15,0.0514,0.0984,100,1008.5,Devi et al. (2022),Density,Liquid,AAoTqw,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Li+].[Li+].[Li+],trilithium citrate,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
OxTPV,313.15,0.0514,0.1263,100,1012.1,Devi et al. (2022),Density,Liquid,AAoTqw,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Li+].[Li+].[Li+],trilithium citrate,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
OxTPV,313.15,0.0514,0.1482,100,1014.8,Devi et al. (2022),Density,Liquid,AAoTqw,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Li+].[Li+].[Li+],trilithium citrate,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
