setid,"Temperature, K","Weight fraction of 2-hydroxy-N,N,N-trimethylethanaminium L-prolinate","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
cGBMb,308.15,0.05,100,1000.2,Chen et al. (2021b),Density,Liquid,AApyQt,C[N+](C)(C)CCO.O=C([O-])[C@@H]1CCCN1,"2-hydroxy-N,N,N-trimethylethanaminium L-prolinate",AADYJk,O,water,,,
cGBMb,308.15,0.1,100,1005.2,Chen et al. (2021b),Density,Liquid,AApyQt,C[N+](C)(C)CCO.O=C([O-])[C@@H]1CCCN1,"2-hydroxy-N,N,N-trimethylethanaminium L-prolinate",AADYJk,O,water,,,
cGBMb,308.15,0.15,100,1010.8,Chen et al. (2021b),Density,Liquid,AApyQt,C[N+](C)(C)CCO.O=C([O-])[C@@H]1CCCN1,"2-hydroxy-N,N,N-trimethylethanaminium L-prolinate",AADYJk,O,water,,,
cGBMb,308.15,0.2,100,1016.2,Chen et al. (2021b),Density,Liquid,AApyQt,C[N+](C)(C)CCO.O=C([O-])[C@@H]1CCCN1,"2-hydroxy-N,N,N-trimethylethanaminium L-prolinate",AADYJk,O,water,,,
cGBMb,308.15,0.3,100,1027.3,Chen et al. (2021b),Density,Liquid,AApyQt,C[N+](C)(C)CCO.O=C([O-])[C@@H]1CCCN1,"2-hydroxy-N,N,N-trimethylethanaminium L-prolinate",AADYJk,O,water,,,
cGBMb,323.15,0.2,100,1011,Chen et al. (2021b),Density,Liquid,AApyQt,C[N+](C)(C)CCO.O=C([O-])[C@@H]1CCCN1,"2-hydroxy-N,N,N-trimethylethanaminium L-prolinate",AADYJk,O,water,,,
cGBMb,323.15,0.3,100,1020.4,Chen et al. (2021b),Density,Liquid,AApyQt,C[N+](C)(C)CCO.O=C([O-])[C@@H]1CCCN1,"2-hydroxy-N,N,N-trimethylethanaminium L-prolinate",AADYJk,O,water,,,
cGBMb,338.15,0.2,100,1005.2,Chen et al. (2021b),Density,Liquid,AApyQt,C[N+](C)(C)CCO.O=C([O-])[C@@H]1CCCN1,"2-hydroxy-N,N,N-trimethylethanaminium L-prolinate",AADYJk,O,water,,,
cGBMb,338.15,0.3,100,1013.6,Chen et al. (2021b),Density,Liquid,AApyQt,C[N+](C)(C)CCO.O=C([O-])[C@@H]1CCCN1,"2-hydroxy-N,N,N-trimethylethanaminium L-prolinate",AADYJk,O,water,,,
cGBMb,353.15,0.2,100,1000.5,Chen et al. (2021b),Density,Liquid,AApyQt,C[N+](C)(C)CCO.O=C([O-])[C@@H]1CCCN1,"2-hydroxy-N,N,N-trimethylethanaminium L-prolinate",AADYJk,O,water,,,
cGBMb,353.15,0.3,100,1006.7,Chen et al. (2021b),Density,Liquid,AApyQt,C[N+](C)(C)CCO.O=C([O-])[C@@H]1CCCN1,"2-hydroxy-N,N,N-trimethylethanaminium L-prolinate",AADYJk,O,water,,,
