setid,"MolaLity of 1-butylpyridinium bromide, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
QjxEF,0,101,298.15,997.043,Shaikh et al. (2013),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
QjxEF,0.01984,101,298.15,998.117,Shaikh et al. (2013),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
QjxEF,0.02735,101,298.15,998.523,Shaikh et al. (2013),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
QjxEF,0.04333,101,298.15,999.388,Shaikh et al. (2013),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
QjxEF,0.05223,101,298.15,999.87,Shaikh et al. (2013),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
QjxEF,0.06294,101,298.15,1000.45,Shaikh et al. (2013),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
QjxEF,0.07738,101,298.15,1001.23,Shaikh et al. (2013),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
QjxEF,0.09862,101,298.15,1002.38,Shaikh et al. (2013),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
QjxEF,0.12224,101,298.15,1003.66,Shaikh et al. (2013),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
QjxEF,0.16454,101,298.15,1005.95,Shaikh et al. (2013),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
QjxEF,0.23438,101,298.15,1009.73,Shaikh et al. (2013),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
QjxEF,0.31217,101,298.15,1013.39,Shaikh et al. (2013),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
QjxEF,0.39501,101,298.15,1018.42,Shaikh et al. (2013),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
