setid,"Temperature, K",Weight fraction of butanoic acid,Weight fraction of water,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
oHykh,298.15,0.0502,0.1088,100,907.6,Martak and Schlosser (2016),Density,Liquid,AAQxlj,CCCC(=O)O,butanoic acid,AADYJk,O,water,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate"
oHykh,298.15,0.0949,0.0769,100,906.3,Martak and Schlosser (2016),Density,Liquid,AAQxlj,CCCC(=O)O,butanoic acid,AADYJk,O,water,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate"
oHykh,298.15,0.148,0.0476,100,905.3,Martak and Schlosser (2016),Density,Liquid,AAQxlj,CCCC(=O)O,butanoic acid,AADYJk,O,water,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate"
oHykh,298.15,0.193,0.0306,100,907.2,Martak and Schlosser (2016),Density,Liquid,AAQxlj,CCCC(=O)O,butanoic acid,AADYJk,O,water,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate"
oHykh,298.15,0.231,0.0259,100,909.9,Martak and Schlosser (2016),Density,Liquid,AAQxlj,CCCC(=O)O,butanoic acid,AADYJk,O,water,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate"
oHykh,298.15,0.263,0.0286,100,912.6,Martak and Schlosser (2016),Density,Liquid,AAQxlj,CCCC(=O)O,butanoic acid,AADYJk,O,water,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate"
oHykh,298.15,0.325,0.0349,100,917.8,Martak and Schlosser (2016),Density,Liquid,AAQxlj,CCCC(=O)O,butanoic acid,AADYJk,O,water,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate"
oHykh,298.15,0.358,0.0375,100,921.1,Martak and Schlosser (2016),Density,Liquid,AAQxlj,CCCC(=O)O,butanoic acid,AADYJk,O,water,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate"
oHykh,298.15,0.397,0.0401,100,926.2,Martak and Schlosser (2016),Density,Liquid,AAQxlj,CCCC(=O)O,butanoic acid,AADYJk,O,water,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate"
oHykh,298.15,0.413,0.0434,100,926.6,Martak and Schlosser (2016),Density,Liquid,AAQxlj,CCCC(=O)O,butanoic acid,AADYJk,O,water,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate"
oHykh,310.15,0.051,0.1127,100,898.4,Martak and Schlosser (2016),Density,Liquid,AAQxlj,CCCC(=O)O,butanoic acid,AADYJk,O,water,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate"
oHykh,310.15,0.0975,0.0759,100,897.7,Martak and Schlosser (2016),Density,Liquid,AAQxlj,CCCC(=O)O,butanoic acid,AADYJk,O,water,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate"
oHykh,310.15,0.141,0.051,100,898.1,Martak and Schlosser (2016),Density,Liquid,AAQxlj,CCCC(=O)O,butanoic acid,AADYJk,O,water,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate"
oHykh,310.15,0.189,0.0354,100,899.8,Martak and Schlosser (2016),Density,Liquid,AAQxlj,CCCC(=O)O,butanoic acid,AADYJk,O,water,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate"
oHykh,310.15,0.222,0.0298,100,902.3,Martak and Schlosser (2016),Density,Liquid,AAQxlj,CCCC(=O)O,butanoic acid,AADYJk,O,water,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate"
oHykh,310.15,0.253,0.0287,100,904.8,Martak and Schlosser (2016),Density,Liquid,AAQxlj,CCCC(=O)O,butanoic acid,AADYJk,O,water,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate"
oHykh,310.15,0.316,0.0329,100,910.1,Martak and Schlosser (2016),Density,Liquid,AAQxlj,CCCC(=O)O,butanoic acid,AADYJk,O,water,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate"
oHykh,310.15,0.359,0.0363,100,913.2,Martak and Schlosser (2016),Density,Liquid,AAQxlj,CCCC(=O)O,butanoic acid,AADYJk,O,water,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate"
