setid,"Temperature, K",Mole fraction of 1-methyl-1-propylpiperidinium bis(fluorosulfonyl)imide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
SSTkf,283.15,0,101.3,1331,Seki et al. (2019),Density,Liquid,ABJzoK,CCC[N+]1(C)CCCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-methyl-1-propylpiperidinium bis(fluorosulfonyl)imide,ABJzqe,CCCC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-butyl-1-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
SSTkf,283.15,0.2,101.3,1328,Seki et al. (2019),Density,Liquid,ABJzoK,CCC[N+]1(C)CCCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-methyl-1-propylpiperidinium bis(fluorosulfonyl)imide,ABJzqe,CCCC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-butyl-1-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
SSTkf,283.15,0.4,101.3,1324,Seki et al. (2019),Density,Liquid,ABJzoK,CCC[N+]1(C)CCCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-methyl-1-propylpiperidinium bis(fluorosulfonyl)imide,ABJzqe,CCCC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-butyl-1-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
SSTkf,283.15,0.6,101.3,1322,Seki et al. (2019),Density,Liquid,ABJzoK,CCC[N+]1(C)CCCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-methyl-1-propylpiperidinium bis(fluorosulfonyl)imide,ABJzqe,CCCC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-butyl-1-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
SSTkf,283.15,0.8,101.3,1320,Seki et al. (2019),Density,Liquid,ABJzoK,CCC[N+]1(C)CCCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-methyl-1-propylpiperidinium bis(fluorosulfonyl)imide,ABJzqe,CCCC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-butyl-1-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
SSTkf,283.15,1,101.3,1317,Seki et al. (2019),Density,Liquid,ABJzoK,CCC[N+]1(C)CCCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-methyl-1-propylpiperidinium bis(fluorosulfonyl)imide,ABJzqe,CCCC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-butyl-1-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
SSTkf,288.15,0,101.3,1327,Seki et al. (2019),Density,Liquid,ABJzoK,CCC[N+]1(C)CCCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-methyl-1-propylpiperidinium bis(fluorosulfonyl)imide,ABJzqe,CCCC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-butyl-1-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
SSTkf,288.15,0.2,101.3,1324,Seki et al. (2019),Density,Liquid,ABJzoK,CCC[N+]1(C)CCCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-methyl-1-propylpiperidinium bis(fluorosulfonyl)imide,ABJzqe,CCCC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-butyl-1-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
SSTkf,288.15,0.4,101.3,1320,Seki et al. (2019),Density,Liquid,ABJzoK,CCC[N+]1(C)CCCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-methyl-1-propylpiperidinium bis(fluorosulfonyl)imide,ABJzqe,CCCC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-butyl-1-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
SSTkf,288.15,0.6,101.3,1318,Seki et al. (2019),Density,Liquid,ABJzoK,CCC[N+]1(C)CCCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-methyl-1-propylpiperidinium bis(fluorosulfonyl)imide,ABJzqe,CCCC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-butyl-1-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
