setid,"MolaLity of 1-methyl-3-octyl-1H-imidazolium 2-hydroxybenzoate, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
CxdhT,0.0974,87,298.15,1000.22,Shekaari et al. (2019d),Density,Liquid,ABLwHW,CCCCCCCCn1cc[n+](C)c1.O=C([O-])c1ccccc1O,1-methyl-3-octyl-1H-imidazolium 2-hydroxybenzoate,AADYJk,O,water,,,
CxdhT,0.2012,87,298.15,1004.25,Shekaari et al. (2019d),Density,Liquid,ABLwHW,CCCCCCCCn1cc[n+](C)c1.O=C([O-])c1ccccc1O,1-methyl-3-octyl-1H-imidazolium 2-hydroxybenzoate,AADYJk,O,water,,,
CxdhT,0.298,87,298.15,1008.03,Shekaari et al. (2019d),Density,Liquid,ABLwHW,CCCCCCCCn1cc[n+](C)c1.O=C([O-])c1ccccc1O,1-methyl-3-octyl-1H-imidazolium 2-hydroxybenzoate,AADYJk,O,water,,,
