setid,"Temperature, K",Mole fraction of 1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
DUBqd,303.15,0,101,1033.25,Akbar and Murugesan (2012),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
DUBqd,303.15,0.101,101,1112.74,Akbar and Murugesan (2012),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
DUBqd,303.15,0.199,101,1169.14,Akbar and Murugesan (2012),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
DUBqd,303.15,0.2951,101,1211.41,Akbar and Murugesan (2012),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
DUBqd,303.15,0.3925,101,1245.26,Akbar and Murugesan (2012),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
DUBqd,303.15,0.5012,101,1275.6,Akbar and Murugesan (2012),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
DUBqd,303.15,0.6001,101,1298,Akbar and Murugesan (2012),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
DUBqd,303.15,0.7023,101,1317.2,Akbar and Murugesan (2012),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
DUBqd,303.15,0.8101,101,1336.7,Akbar and Murugesan (2012),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
DUBqd,303.15,0.9011,101,1351.6,Akbar and Murugesan (2012),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
DUBqd,303.15,1,101,1364.6,Akbar and Murugesan (2012),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
DUBqd,308.15,0,101,1029.46,Akbar and Murugesan (2012),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
DUBqd,308.15,0.101,101,1108.66,Akbar and Murugesan (2012),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
DUBqd,308.15,0.199,101,1164.86,Akbar and Murugesan (2012),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
DUBqd,308.15,0.2951,101,1207.03,Akbar and Murugesan (2012),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
DUBqd,308.15,0.3925,101,1240.81,Akbar and Murugesan (2012),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
DUBqd,308.15,0.5012,101,1271.1,Akbar and Murugesan (2012),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
DUBqd,308.15,0.6001,101,1293.4,Akbar and Murugesan (2012),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
DUBqd,308.15,0.7023,101,1312.6,Akbar and Murugesan (2012),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
DUBqd,308.15,0.8101,101,1332.1,Akbar and Murugesan (2012),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
