setid,"Solvent: MolaLity of 1-butyl-3-propyl-1H-imidazolium bromide, mol/kg","Temperature, K","MolaLity of (S)-2-aminopropanoic acid, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ixxPJ,0.01,288.15,0,100,999.7,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.01,288.15,0.0496,100,1001.2,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.01,288.15,0.1003,100,1002.7,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.01,288.15,0.1481,100,1004.1,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.01,288.15,0.1986,100,1005.6,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.01,288.15,0.2493,100,1007.2,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.01,288.15,0.2968,100,1008.6,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.01,298.15,0,100,997.5,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.01,298.15,0.0496,100,999,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.01,298.15,0.1003,100,1000.4,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.01,298.15,0.1481,100,1001.8,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.01,298.15,0.1986,100,1003.2,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.01,298.15,0.2493,100,1004.7,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.01,298.15,0.2968,100,1006.1,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
