setid,"Solvent: MolaLity of 1-butyl-3-propyl-1H-imidazolium bromide, mol/kg","Temperature, K","MolaLity of (S)-2-aminopropanoic acid, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ixxPJ,0.01,308.15,0,100,994.5,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.01,308.15,0.0496,100,995.9,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.01,308.15,0.1003,100,997.3,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.01,308.15,0.1481,100,998.6,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.01,308.15,0.1986,100,1000,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.01,308.15,0.2493,100,1001.4,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.01,308.15,0.2968,100,1002.7,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.01,318.15,0,100,990.6,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.01,318.15,0.0496,100,992,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.01,318.15,0.1003,100,993.3,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.01,318.15,0.1481,100,994.5,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.01,318.15,0.1986,100,995.8,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.01,318.15,0.2493,100,997.2,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.01,318.15,0.2968,100,998.4,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.03,288.15,0,100,1000.8,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.03,288.15,0.0512,100,1002.3,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.03,288.15,0.1007,100,1003.8,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.03,288.15,0.146,100,1005.1,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.03,288.15,0.198,100,1006.7,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.03,288.15,0.2469,100,1008.2,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.03,288.15,0.2977,100,1009.7,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.03,298.15,0,100,998.5,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.03,298.15,0.0512,100,999.9,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.03,298.15,0.1007,100,1001.3,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.03,298.15,0.146,100,1002.6,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.03,298.15,0.198,100,1004.1,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.03,298.15,0.2469,100,1005.5,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.03,298.15,0.2977,100,1006.9,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.03,308.15,0,100,995.5,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.03,308.15,0.0512,100,996.9,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.03,308.15,0.1007,100,998.3,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.03,308.15,0.146,100,999.5,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.03,308.15,0.198,100,1001,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.03,308.15,0.2469,100,1002.3,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.03,308.15,0.2977,100,1003.8,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.03,318.15,0,100,991.5,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.03,318.15,0.0512,100,992.9,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.03,318.15,0.1007,100,994.1,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.03,318.15,0.146,100,995.3,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.03,318.15,0.198,100,996.6,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.03,318.15,0.2469,100,997.9,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.03,318.15,0.2977,100,999.2,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.05,288.15,0,100,1001.9,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.05,288.15,0.0499,100,1003.3,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.05,288.15,0.1006,100,1004.8,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.05,288.15,0.1498,100,1006.2,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.05,288.15,0.2023,100,1007.8,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.05,288.15,0.2498,100,1009.2,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.05,288.15,0.2989,100,1010.6,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.05,298.15,0,100,999.4,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.05,298.15,0.0499,100,1000.8,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.05,298.15,0.1006,100,1002.2,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.05,298.15,0.1498,100,1003.6,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.05,298.15,0.2023,100,1005.1,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.05,298.15,0.2498,100,1006.4,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.05,298.15,0.2989,100,1007.8,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.05,308.15,0,100,996.4,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.05,308.15,0.0499,100,997.8,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.05,308.15,0.1006,100,999.1,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.05,308.15,0.1498,100,1000.4,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.05,308.15,0.2023,100,1001.8,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.05,308.15,0.2498,100,1003.1,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.05,308.15,0.2989,100,1004.4,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.05,318.15,0,100,992.4,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.05,318.15,0.0499,100,993.7,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.05,318.15,0.1006,100,995,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.05,318.15,0.1498,100,996.2,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.05,318.15,0.2023,100,997.6,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.05,318.15,0.2498,100,998.8,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
ixxPJ,0.05,318.15,0.2989,100,1000,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid
