setid,"Temperature, K","MolaLity of 1-ethyl-3-methylimidazolium methyl sulfate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
KPlKj,298.15,0,93,997,Terdale and Warke (2020),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
KPlKj,298.15,0.0265,93,998.4,Terdale and Warke (2020),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
KPlKj,298.15,0.0507,93,999.5,Terdale and Warke (2020),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
KPlKj,298.15,0.0731,93,1000.6,Terdale and Warke (2020),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
KPlKj,298.15,0.1016,93,1002,Terdale and Warke (2020),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
KPlKj,298.15,0.1551,93,1004.5,Terdale and Warke (2020),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
KPlKj,298.15,0.2063,93,1006.8,Terdale and Warke (2020),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
KPlKj,298.15,0.2547,93,1009,Terdale and Warke (2020),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
KPlKj,298.15,0.3075,93,1011.3,Terdale and Warke (2020),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
KPlKj,298.15,0.4187,93,1016.1,Terdale and Warke (2020),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
KPlKj,298.15,0.5363,93,1021,Terdale and Warke (2020),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
KPlKj,303.15,0,93,995.6,Terdale and Warke (2020),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
KPlKj,303.15,0.0265,93,996.9,Terdale and Warke (2020),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
KPlKj,303.15,0.0507,93,998.1,Terdale and Warke (2020),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
KPlKj,303.15,0.0731,93,999.2,Terdale and Warke (2020),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
KPlKj,303.15,0.1016,93,1000.5,Terdale and Warke (2020),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
KPlKj,303.15,0.1551,93,1003,Terdale and Warke (2020),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
KPlKj,303.15,0.2063,93,1005.3,Terdale and Warke (2020),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
KPlKj,303.15,0.2547,93,1007.4,Terdale and Warke (2020),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
