setid,Mole fraction of 1-butyl-3-methylimidazolium chloride,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Pjysc,0.333,100,303.15,1092,Al-Kayiem et al. (2021),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
Pjysc,0.5,100,303.15,1086,Al-Kayiem et al. (2021),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
