setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium tetrafluoroborate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
UyKCw,293.15,0.1225,101,1045.21,Sharma and Solanki (2013),Density,Liquid,AAUfPO,CNc1ccccc1,N-methylaniline,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
UyKCw,293.15,0.1657,101,1064.01,Sharma and Solanki (2013),Density,Liquid,AAUfPO,CNc1ccccc1,N-methylaniline,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
UyKCw,293.15,0.2178,101,1085.5,Sharma and Solanki (2013),Density,Liquid,AAUfPO,CNc1ccccc1,N-methylaniline,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
UyKCw,293.15,0.2798,101,1109.2,Sharma and Solanki (2013),Density,Liquid,AAUfPO,CNc1ccccc1,N-methylaniline,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
UyKCw,293.15,0.3362,101,1129.3,Sharma and Solanki (2013),Density,Liquid,AAUfPO,CNc1ccccc1,N-methylaniline,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
UyKCw,293.15,0.3856,101,1145.7,Sharma and Solanki (2013),Density,Liquid,AAUfPO,CNc1ccccc1,N-methylaniline,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
UyKCw,293.15,0.4145,101,1154.9,Sharma and Solanki (2013),Density,Liquid,AAUfPO,CNc1ccccc1,N-methylaniline,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
UyKCw,293.15,0.4713,101,1172,Sharma and Solanki (2013),Density,Liquid,AAUfPO,CNc1ccccc1,N-methylaniline,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
UyKCw,293.15,0.5225,101,1186.3,Sharma and Solanki (2013),Density,Liquid,AAUfPO,CNc1ccccc1,N-methylaniline,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
UyKCw,293.15,0.5834,101,1202.2,Sharma and Solanki (2013),Density,Liquid,AAUfPO,CNc1ccccc1,N-methylaniline,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
