setid,"Temperature, K","MolaRity of hexyltrimethylammonium bromide, mol/dm3","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
XBaIH,278.15,0.242,101.3,1008.6,Rohman et al. (2022),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
XBaIH,278.15,0.6638,101.3,1024.5,Rohman et al. (2022),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
XBaIH,283.15,0.242,101.3,1008.1,Rohman et al. (2022),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
XBaIH,283.15,0.6638,101.3,1023.8,Rohman et al. (2022),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
XBaIH,288.15,0.242,101.3,1007.4,Rohman et al. (2022),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
XBaIH,288.15,0.6638,101.3,1022.4,Rohman et al. (2022),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
XBaIH,293.15,0.242,101.3,1006.5,Rohman et al. (2022),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
XBaIH,293.15,0.6638,101.3,1020.9,Rohman et al. (2022),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
XBaIH,298.15,0.0448,101.3,998.4,Rohman et al. (2022),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
XBaIH,298.15,0.0979,101.3,1000.6,Rohman et al. (2022),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
