setid,"Temperature, K","MolaLity of sodium dodecyl sulfate, mol/kg","Pressure, kPa","Solvent: MolaLity of tetrapropylammonium nitrate, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Datqd,308.15,0.0007,100,0.01,994.392,Kaur and Chauhan (2020),Density,Liquid,AAvnzR,CCC[N+](CCC)(CCC)CCC.O=[N+]([O-])[O-],tetrapropylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
Datqd,308.15,0.0008,100,0.01,994.401,Kaur and Chauhan (2020),Density,Liquid,AAvnzR,CCC[N+](CCC)(CCC)CCC.O=[N+]([O-])[O-],tetrapropylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
Datqd,308.15,0.0009,100,0.01,994.41,Kaur and Chauhan (2020),Density,Liquid,AAvnzR,CCC[N+](CCC)(CCC)CCC.O=[N+]([O-])[O-],tetrapropylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
Datqd,308.15,0.001,100,0.01,994.416,Kaur and Chauhan (2020),Density,Liquid,AAvnzR,CCC[N+](CCC)(CCC)CCC.O=[N+]([O-])[O-],tetrapropylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
Datqd,313.15,0.0001,100,0.01,992.506,Kaur and Chauhan (2020),Density,Liquid,AAvnzR,CCC[N+](CCC)(CCC)CCC.O=[N+]([O-])[O-],tetrapropylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
Datqd,313.15,0.0002,100,0.01,992.521,Kaur and Chauhan (2020),Density,Liquid,AAvnzR,CCC[N+](CCC)(CCC)CCC.O=[N+]([O-])[O-],tetrapropylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
Datqd,313.15,0.0003,100,0.01,992.537,Kaur and Chauhan (2020),Density,Liquid,AAvnzR,CCC[N+](CCC)(CCC)CCC.O=[N+]([O-])[O-],tetrapropylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
Datqd,313.15,0.0004,100,0.01,992.551,Kaur and Chauhan (2020),Density,Liquid,AAvnzR,CCC[N+](CCC)(CCC)CCC.O=[N+]([O-])[O-],tetrapropylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
Datqd,313.15,0.0005,100,0.01,992.557,Kaur and Chauhan (2020),Density,Liquid,AAvnzR,CCC[N+](CCC)(CCC)CCC.O=[N+]([O-])[O-],tetrapropylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
Datqd,313.15,0.0006,100,0.01,992.562,Kaur and Chauhan (2020),Density,Liquid,AAvnzR,CCC[N+](CCC)(CCC)CCC.O=[N+]([O-])[O-],tetrapropylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
Datqd,313.15,0.0007,100,0.01,992.567,Kaur and Chauhan (2020),Density,Liquid,AAvnzR,CCC[N+](CCC)(CCC)CCC.O=[N+]([O-])[O-],tetrapropylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
Datqd,313.15,0.0008,100,0.01,992.575,Kaur and Chauhan (2020),Density,Liquid,AAvnzR,CCC[N+](CCC)(CCC)CCC.O=[N+]([O-])[O-],tetrapropylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
Datqd,313.15,0.0009,100,0.01,992.584,Kaur and Chauhan (2020),Density,Liquid,AAvnzR,CCC[N+](CCC)(CCC)CCC.O=[N+]([O-])[O-],tetrapropylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
Datqd,313.15,0.001,100,0.01,992.593,Kaur and Chauhan (2020),Density,Liquid,AAvnzR,CCC[N+](CCC)(CCC)CCC.O=[N+]([O-])[O-],tetrapropylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
Datqd,318.15,0.0001,100,0.01,990.489,Kaur and Chauhan (2020),Density,Liquid,AAvnzR,CCC[N+](CCC)(CCC)CCC.O=[N+]([O-])[O-],tetrapropylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
Datqd,318.15,0.0002,100,0.01,990.505,Kaur and Chauhan (2020),Density,Liquid,AAvnzR,CCC[N+](CCC)(CCC)CCC.O=[N+]([O-])[O-],tetrapropylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
Datqd,318.15,0.0003,100,0.01,990.518,Kaur and Chauhan (2020),Density,Liquid,AAvnzR,CCC[N+](CCC)(CCC)CCC.O=[N+]([O-])[O-],tetrapropylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
Datqd,318.15,0.0004,100,0.01,990.533,Kaur and Chauhan (2020),Density,Liquid,AAvnzR,CCC[N+](CCC)(CCC)CCC.O=[N+]([O-])[O-],tetrapropylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
Datqd,318.15,0.0005,100,0.01,990.54,Kaur and Chauhan (2020),Density,Liquid,AAvnzR,CCC[N+](CCC)(CCC)CCC.O=[N+]([O-])[O-],tetrapropylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
Datqd,318.15,0.0006,100,0.01,990.548,Kaur and Chauhan (2020),Density,Liquid,AAvnzR,CCC[N+](CCC)(CCC)CCC.O=[N+]([O-])[O-],tetrapropylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
Datqd,318.15,0.0007,100,0.01,990.557,Kaur and Chauhan (2020),Density,Liquid,AAvnzR,CCC[N+](CCC)(CCC)CCC.O=[N+]([O-])[O-],tetrapropylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
Datqd,318.15,0.0008,100,0.01,990.565,Kaur and Chauhan (2020),Density,Liquid,AAvnzR,CCC[N+](CCC)(CCC)CCC.O=[N+]([O-])[O-],tetrapropylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
Datqd,318.15,0.0009,100,0.01,990.573,Kaur and Chauhan (2020),Density,Liquid,AAvnzR,CCC[N+](CCC)(CCC)CCC.O=[N+]([O-])[O-],tetrapropylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
Datqd,318.15,0.001,100,0.01,990.579,Kaur and Chauhan (2020),Density,Liquid,AAvnzR,CCC[N+](CCC)(CCC)CCC.O=[N+]([O-])[O-],tetrapropylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
