setid,"MolaLity of 1-dodecyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
rEXkK,0,101.3,298.15,944.3,Wang et al. (2009a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
rEXkK,0.003861,101.3,298.15,944.5,Wang et al. (2009a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
rEXkK,0.008055,101.3,298.15,944.8,Wang et al. (2009a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
rEXkK,0.0123,101.3,298.15,945,Wang et al. (2009a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
rEXkK,0.01627,101.3,298.15,945.3,Wang et al. (2009a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
rEXkK,0.02032,101.3,298.15,945.5,Wang et al. (2009a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
rEXkK,0.02446,101.3,298.15,945.7,Wang et al. (2009a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
rEXkK,0.02703,101.3,298.15,945.9,Wang et al. (2009a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
rEXkK,0.03337,101.3,298.15,946.2,Wang et al. (2009a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
rEXkK,0.03725,101.3,298.15,946.5,Wang et al. (2009a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
rEXkK,0.04099,101.3,298.15,946.7,Wang et al. (2009a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
