setid,"MolaLity of N,N-dibutyl-N-ethylbutan-1-aminium bromide, mol/kg","Pressure, kPa","Temperature, K","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
SaWJX,0.00916,101,298.15,0.139,Blanco and Vargas (2006),Density,Liquid,AADYJk,O,water,ABEfcu,CCCC[N+](CC)(CCCC)CCCC.[Br-],"N,N-dibutyl-N-ethylbutan-1-aminium bromide",,,
SaWJX,0.01042,101,298.15,0.159,Blanco and Vargas (2006),Density,Liquid,AADYJk,O,water,ABEfcu,CCCC[N+](CC)(CCCC)CCCC.[Br-],"N,N-dibutyl-N-ethylbutan-1-aminium bromide",,,
SaWJX,0.01529,101,298.15,0.23,Blanco and Vargas (2006),Density,Liquid,AADYJk,O,water,ABEfcu,CCCC[N+](CC)(CCCC)CCCC.[Br-],"N,N-dibutyl-N-ethylbutan-1-aminium bromide",,,
SaWJX,0.01993,101,298.15,0.299,Blanco and Vargas (2006),Density,Liquid,AADYJk,O,water,ABEfcu,CCCC[N+](CC)(CCCC)CCCC.[Br-],"N,N-dibutyl-N-ethylbutan-1-aminium bromide",,,
SaWJX,0.02499,101,298.15,0.375,Blanco and Vargas (2006),Density,Liquid,AADYJk,O,water,ABEfcu,CCCC[N+](CC)(CCCC)CCCC.[Br-],"N,N-dibutyl-N-ethylbutan-1-aminium bromide",,,
SaWJX,0.0307,101,298.15,0.46,Blanco and Vargas (2006),Density,Liquid,AADYJk,O,water,ABEfcu,CCCC[N+](CC)(CCCC)CCCC.[Br-],"N,N-dibutyl-N-ethylbutan-1-aminium bromide",,,
SaWJX,0.03426,101,298.15,0.514,Blanco and Vargas (2006),Density,Liquid,AADYJk,O,water,ABEfcu,CCCC[N+](CC)(CCCC)CCCC.[Br-],"N,N-dibutyl-N-ethylbutan-1-aminium bromide",,,
SaWJX,0.03976,101,298.15,0.594,Blanco and Vargas (2006),Density,Liquid,AADYJk,O,water,ABEfcu,CCCC[N+](CC)(CCCC)CCCC.[Br-],"N,N-dibutyl-N-ethylbutan-1-aminium bromide",,,
