setid,"Temperature, K","MolaLity of N-ethyl-N-methylpiperidinium bromide, mol/kg","MolaLity of 1-methyl-1-propylpiperidinium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
fBJWN,293.15,0.1664,0.3336,101,1018.68,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide
fBJWN,293.15,0.2487,0.2514,101,1018.91,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide
fBJWN,293.15,0.3334,0.1666,101,1019.1,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide
fBJWN,293.15,0.5003,0.9998,101,1053.34,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide
fBJWN,293.15,0.7502,0.7499,101,1053.87,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide
fBJWN,293.15,0.8002,1.5995,101,1078.92,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide
fBJWN,293.15,1.0001,0.4999,101,1054.41,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide
fBJWN,293.15,1.2004,1.1994,101,1079.78,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide
fBJWN,293.15,1.5996,0.8003,101,1080.65,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide
fBJWN,298.15,0.1664,0.3336,101,1017.29,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide
