setid,"Temperature, K",Mole fraction of ferric chloride,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
VfsSH,293.15,0.37,100,1279.5,Li et al. (2016g),Density,Liquid,AAfJOS,Cl[Fe](Cl)Cl,ferric chloride,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
VfsSH,293.15,0.4,100,1299.3,Li et al. (2016g),Density,Liquid,AAfJOS,Cl[Fe](Cl)Cl,ferric chloride,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
VfsSH,293.15,0.435,100,1322.8,Li et al. (2016g),Density,Liquid,AAfJOS,Cl[Fe](Cl)Cl,ferric chloride,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
VfsSH,293.15,0.455,100,1337.1,Li et al. (2016g),Density,Liquid,AAfJOS,Cl[Fe](Cl)Cl,ferric chloride,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
VfsSH,293.15,0.476,100,1352.4,Li et al. (2016g),Density,Liquid,AAfJOS,Cl[Fe](Cl)Cl,ferric chloride,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
VfsSH,293.15,0.5,100,1369.9,Li et al. (2016g),Density,Liquid,AAfJOS,Cl[Fe](Cl)Cl,ferric chloride,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
VfsSH,293.15,0.524,100,1391.6,Li et al. (2016g),Density,Liquid,AAfJOS,Cl[Fe](Cl)Cl,ferric chloride,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
VfsSH,293.15,0.565,100,1433.4,Li et al. (2016g),Density,Liquid,AAfJOS,Cl[Fe](Cl)Cl,ferric chloride,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
VfsSH,293.15,0.6,100,1468.1,Li et al. (2016g),Density,Liquid,AAfJOS,Cl[Fe](Cl)Cl,ferric chloride,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
VfsSH,298.15,0.37,100,1275.8,Li et al. (2016g),Density,Liquid,AAfJOS,Cl[Fe](Cl)Cl,ferric chloride,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
VfsSH,298.15,0.4,100,1295.2,Li et al. (2016g),Density,Liquid,AAfJOS,Cl[Fe](Cl)Cl,ferric chloride,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
VfsSH,298.15,0.435,100,1318.7,Li et al. (2016g),Density,Liquid,AAfJOS,Cl[Fe](Cl)Cl,ferric chloride,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
VfsSH,298.15,0.455,100,1332.9,Li et al. (2016g),Density,Liquid,AAfJOS,Cl[Fe](Cl)Cl,ferric chloride,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
VfsSH,298.15,0.476,100,1348.3,Li et al. (2016g),Density,Liquid,AAfJOS,Cl[Fe](Cl)Cl,ferric chloride,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
VfsSH,298.15,0.5,100,1365.7,Li et al. (2016g),Density,Liquid,AAfJOS,Cl[Fe](Cl)Cl,ferric chloride,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
VfsSH,298.15,0.524,100,1387.4,Li et al. (2016g),Density,Liquid,AAfJOS,Cl[Fe](Cl)Cl,ferric chloride,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
VfsSH,298.15,0.565,100,1428.8,Li et al. (2016g),Density,Liquid,AAfJOS,Cl[Fe](Cl)Cl,ferric chloride,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
