setid,"MolaRity of tetrabutylammonium hydrogen sulfate, mol/dm3","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
nOprM,0.01,303.15,101,783,Jain et al. (2013),Density,Liquid,AAGIBL,CO,methanol,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,,,
nOprM,0.02,303.15,101,784.1,Jain et al. (2013),Density,Liquid,AAGIBL,CO,methanol,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,,,
nOprM,0.03,303.15,101,785,Jain et al. (2013),Density,Liquid,AAGIBL,CO,methanol,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,,,
nOprM,0.04,303.15,101,787.3,Jain et al. (2013),Density,Liquid,AAGIBL,CO,methanol,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,,,
nOprM,0.05,303.15,101,788.9,Jain et al. (2013),Density,Liquid,AAGIBL,CO,methanol,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,,,
nOprM,0.06,303.15,101,790.3,Jain et al. (2013),Density,Liquid,AAGIBL,CO,methanol,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,,,
nOprM,0.07,303.15,101,791.6,Jain et al. (2013),Density,Liquid,AAGIBL,CO,methanol,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,,,
nOprM,0.08,303.15,101,792.8,Jain et al. (2013),Density,Liquid,AAGIBL,CO,methanol,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,,,
nOprM,0.09,303.15,101,794,Jain et al. (2013),Density,Liquid,AAGIBL,CO,methanol,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,,,
nOprM,0.1,303.15,101,795,Jain et al. (2013),Density,Liquid,AAGIBL,CO,methanol,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,,,
