setid,Mole fraction of 1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
gtExk,0,298,101,799,Wandschneider et al. (2008),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
gtExk,0.035,298,101,878.2,Wandschneider et al. (2008),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
gtExk,0.131,298,101,1036.2,Wandschneider et al. (2008),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
gtExk,0.202,298,101,1116.5,Wandschneider et al. (2008),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
gtExk,0.296,298,101,1194.1,Wandschneider et al. (2008),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
gtExk,0.373,298,101,1243.5,Wandschneider et al. (2008),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
gtExk,0.517,298,101,1311.8,Wandschneider et al. (2008),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
gtExk,0.664,298,101,1361.9,Wandschneider et al. (2008),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
gtExk,0.685,298,101,1368,Wandschneider et al. (2008),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
gtExk,0.884,298,101,1422,Wandschneider et al. (2008),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
gtExk,1,298,101,1436,Wandschneider et al. (2008),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
