setid,Mole fraction of N-ethyl-N-isopropylpropan-2-aminium octanoate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
eLFfm,0,298.15,101.3,997,Jacquemin et al. (2011),Density,Liquid,AADYJk,O,water,ABAego,CCCCCCCC(=O)[O-].CC[NH+](C(C)C)C(C)C,N-ethyl-N-isopropylpropan-2-aminium octanoate,,,
eLFfm,0.0948,298.15,101.3,955.1,Jacquemin et al. (2011),Density,Liquid,AADYJk,O,water,ABAego,CCCCCCCC(=O)[O-].CC[NH+](C(C)C)C(C)C,N-ethyl-N-isopropylpropan-2-aminium octanoate,,,
eLFfm,0.193,298.15,101.3,927.3,Jacquemin et al. (2011),Density,Liquid,AADYJk,O,water,ABAego,CCCCCCCC(=O)[O-].CC[NH+](C(C)C)C(C)C,N-ethyl-N-isopropylpropan-2-aminium octanoate,,,
eLFfm,0.2908,298.15,101.3,905.7,Jacquemin et al. (2011),Density,Liquid,AADYJk,O,water,ABAego,CCCCCCCC(=O)[O-].CC[NH+](C(C)C)C(C)C,N-ethyl-N-isopropylpropan-2-aminium octanoate,,,
eLFfm,0.3981,298.15,101.3,890.6,Jacquemin et al. (2011),Density,Liquid,AADYJk,O,water,ABAego,CCCCCCCC(=O)[O-].CC[NH+](C(C)C)C(C)C,N-ethyl-N-isopropylpropan-2-aminium octanoate,,,
eLFfm,0.505,298.15,101.3,877.4,Jacquemin et al. (2011),Density,Liquid,AADYJk,O,water,ABAego,CCCCCCCC(=O)[O-].CC[NH+](C(C)C)C(C)C,N-ethyl-N-isopropylpropan-2-aminium octanoate,,,
eLFfm,0.5846,298.15,101.3,872.2,Jacquemin et al. (2011),Density,Liquid,AADYJk,O,water,ABAego,CCCCCCCC(=O)[O-].CC[NH+](C(C)C)C(C)C,N-ethyl-N-isopropylpropan-2-aminium octanoate,,,
eLFfm,0.6749,298.15,101.3,867.2,Jacquemin et al. (2011),Density,Liquid,AADYJk,O,water,ABAego,CCCCCCCC(=O)[O-].CC[NH+](C(C)C)C(C)C,N-ethyl-N-isopropylpropan-2-aminium octanoate,,,
eLFfm,0.7994,298.15,101.3,862.9,Jacquemin et al. (2011),Density,Liquid,AADYJk,O,water,ABAego,CCCCCCCC(=O)[O-].CC[NH+](C(C)C)C(C)C,N-ethyl-N-isopropylpropan-2-aminium octanoate,,,
eLFfm,0.86,298.15,101.3,861,Jacquemin et al. (2011),Density,Liquid,AADYJk,O,water,ABAego,CCCCCCCC(=O)[O-].CC[NH+](C(C)C)C(C)C,N-ethyl-N-isopropylpropan-2-aminium octanoate,,,
eLFfm,1,298.15,101.3,858.5,Jacquemin et al. (2011),Density,Liquid,AADYJk,O,water,ABAego,CCCCCCCC(=O)[O-].CC[NH+](C(C)C)C(C)C,N-ethyl-N-isopropylpropan-2-aminium octanoate,,,
