setid,"Temperature, K","MolaLity of 1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
brebv,293.15,0,101.3,944.04,Fu et al. (2021),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AAZpGJ,COCCOCCOC,"2,5,8-trioxanonane",,,
brebv,293.15,0.02,101.3,947.05,Fu et al. (2021),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AAZpGJ,COCCOCCOC,"2,5,8-trioxanonane",,,
brebv,293.15,0.0301,101.3,948.58,Fu et al. (2021),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AAZpGJ,COCCOCCOC,"2,5,8-trioxanonane",,,
brebv,293.15,0.0399,101.3,950.06,Fu et al. (2021),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AAZpGJ,COCCOCCOC,"2,5,8-trioxanonane",,,
brebv,293.15,0.0501,101.3,951.55,Fu et al. (2021),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AAZpGJ,COCCOCCOC,"2,5,8-trioxanonane",,,
brebv,293.15,0.0805,101.3,956.06,Fu et al. (2021),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AAZpGJ,COCCOCCOC,"2,5,8-trioxanonane",,,
brebv,293.15,0.1198,101.3,961.64,Fu et al. (2021),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AAZpGJ,COCCOCCOC,"2,5,8-trioxanonane",,,
brebv,293.15,0.1995,101.3,972.9,Fu et al. (2021),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AAZpGJ,COCCOCCOC,"2,5,8-trioxanonane",,,
brebv,293.15,0.249,101.3,979.49,Fu et al. (2021),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AAZpGJ,COCCOCCOC,"2,5,8-trioxanonane",,,
brebv,293.15,0.2924,101.3,985.03,Fu et al. (2021),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AAZpGJ,COCCOCCOC,"2,5,8-trioxanonane",,,
brebv,293.15,0.3486,101.3,992.15,Fu et al. (2021),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AAZpGJ,COCCOCCOC,"2,5,8-trioxanonane",,,
brebv,293.15,0.4003,101.3,998.46,Fu et al. (2021),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AAZpGJ,COCCOCCOC,"2,5,8-trioxanonane",,,
brebv,293.15,0.4487,101.3,1004.13,Fu et al. (2021),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AAZpGJ,COCCOCCOC,"2,5,8-trioxanonane",,,
brebv,293.15,0.5001,101.3,1010.1,Fu et al. (2021),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AAZpGJ,COCCOCCOC,"2,5,8-trioxanonane",,,
brebv,298.15,0,101.3,939.08,Fu et al. (2021),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AAZpGJ,COCCOCCOC,"2,5,8-trioxanonane",,,
brebv,298.15,0.02,101.3,942.09,Fu et al. (2021),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AAZpGJ,COCCOCCOC,"2,5,8-trioxanonane",,,
brebv,298.15,0.0301,101.3,943.64,Fu et al. (2021),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AAZpGJ,COCCOCCOC,"2,5,8-trioxanonane",,,
brebv,298.15,0.0399,101.3,945.13,Fu et al. (2021),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AAZpGJ,COCCOCCOC,"2,5,8-trioxanonane",,,
brebv,298.15,0.0501,101.3,946.64,Fu et al. (2021),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AAZpGJ,COCCOCCOC,"2,5,8-trioxanonane",,,
brebv,298.15,0.0805,101.3,951.15,Fu et al. (2021),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AAZpGJ,COCCOCCOC,"2,5,8-trioxanonane",,,
brebv,298.15,0.1198,101.3,956.69,Fu et al. (2021),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AAZpGJ,COCCOCCOC,"2,5,8-trioxanonane",,,
brebv,298.15,0.1995,101.3,967.98,Fu et al. (2021),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AAZpGJ,COCCOCCOC,"2,5,8-trioxanonane",,,
