setid,"Temperature, K",Weight fraction of 1-ethyl-3-methylimidazolium octyl sulfate,Weight fraction of potassium sulfate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
EaFWy,294.15,0.8164,0.0006,101,1081.7,Cabeza et al. (2017),Density,Liquid,AADYJk,O,water,AAhaUu,O=S(=O)([O-])[O-].[K+].[K+],potassium sulfate,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate
EaFWy,294.35,0.8164,0.0006,101,1081.5,Cabeza et al. (2017),Density,Liquid,AADYJk,O,water,AAhaUu,O=S(=O)([O-])[O-].[K+].[K+],potassium sulfate,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate
EaFWy,294.55,0.8164,0.0006,101,1081.3,Cabeza et al. (2017),Density,Liquid,AADYJk,O,water,AAhaUu,O=S(=O)([O-])[O-].[K+].[K+],potassium sulfate,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate
EaFWy,294.75,0.8164,0.0006,101,1081.1,Cabeza et al. (2017),Density,Liquid,AADYJk,O,water,AAhaUu,O=S(=O)([O-])[O-].[K+].[K+],potassium sulfate,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate
EaFWy,294.95,0.8164,0.0006,101,1080.8,Cabeza et al. (2017),Density,Liquid,AADYJk,O,water,AAhaUu,O=S(=O)([O-])[O-].[K+].[K+],potassium sulfate,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate
EaFWy,295.15,0.8164,0.0006,101,1080.6,Cabeza et al. (2017),Density,Liquid,AADYJk,O,water,AAhaUu,O=S(=O)([O-])[O-].[K+].[K+],potassium sulfate,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate
EaFWy,295.65,0.8164,0.0006,101,1080,Cabeza et al. (2017),Density,Liquid,AADYJk,O,water,AAhaUu,O=S(=O)([O-])[O-].[K+].[K+],potassium sulfate,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate
EaFWy,296.15,0.8164,0.0006,101,1079.7,Cabeza et al. (2017),Density,Liquid,AADYJk,O,water,AAhaUu,O=S(=O)([O-])[O-].[K+].[K+],potassium sulfate,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate
EaFWy,297.15,0.8164,0.0006,101,1079.5,Cabeza et al. (2017),Density,Liquid,AADYJk,O,water,AAhaUu,O=S(=O)([O-])[O-].[K+].[K+],potassium sulfate,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate
EaFWy,298.15,0.8164,0.0006,101,1078.9,Cabeza et al. (2017),Density,Liquid,AADYJk,O,water,AAhaUu,O=S(=O)([O-])[O-].[K+].[K+],potassium sulfate,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate
EaFWy,303.15,0.8164,0.0006,101,1075.5,Cabeza et al. (2017),Density,Liquid,AADYJk,O,water,AAhaUu,O=S(=O)([O-])[O-].[K+].[K+],potassium sulfate,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate
EaFWy,308.15,0.8164,0.0006,101,1072,Cabeza et al. (2017),Density,Liquid,AADYJk,O,water,AAhaUu,O=S(=O)([O-])[O-].[K+].[K+],potassium sulfate,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate
EaFWy,318.15,0.8164,0.0006,101,1065,Cabeza et al. (2017),Density,Liquid,AADYJk,O,water,AAhaUu,O=S(=O)([O-])[O-].[K+].[K+],potassium sulfate,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate
EaFWy,328.15,0.8164,0.0006,101,1058,Cabeza et al. (2017),Density,Liquid,AADYJk,O,water,AAhaUu,O=S(=O)([O-])[O-].[K+].[K+],potassium sulfate,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate
EaFWy,338.15,0.8164,0.0006,101,1050.9,Cabeza et al. (2017),Density,Liquid,AADYJk,O,water,AAhaUu,O=S(=O)([O-])[O-].[K+].[K+],potassium sulfate,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate
