setid,"Temperature, K","MolaLity of D-xylose, mol/kg","Solvent: MolaLity of N,N,N-trimethyl-1-hexadecanaminium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
NSrSv,298.15,0,0.0004,100,997.1,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AActJI,OC1OC[C@@H](O)[C@H](O)[C@H]1O,D-xylose,AADYJk,O,water
NSrSv,298.15,0,0.0008,100,997.1,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AActJI,OC1OC[C@@H](O)[C@H](O)[C@H]1O,D-xylose,AADYJk,O,water
NSrSv,298.15,0,0.0012,100,997.1,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AActJI,OC1OC[C@@H](O)[C@H](O)[C@H]1O,D-xylose,AADYJk,O,water
NSrSv,298.15,0.05,0.0004,100,999.7,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AActJI,OC1OC[C@@H](O)[C@H](O)[C@H]1O,D-xylose,AADYJk,O,water
NSrSv,298.15,0.0505,0.0008,100,999.7,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AActJI,OC1OC[C@@H](O)[C@H](O)[C@H]1O,D-xylose,AADYJk,O,water
NSrSv,298.15,0.0549,0.0012,100,999.9,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AActJI,OC1OC[C@@H](O)[C@H](O)[C@H]1O,D-xylose,AADYJk,O,water
NSrSv,298.15,0.0659,0.0008,100,1000.5,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AActJI,OC1OC[C@@H](O)[C@H](O)[C@H]1O,D-xylose,AADYJk,O,water
NSrSv,298.15,0.073,0.0004,100,1000.9,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AActJI,OC1OC[C@@H](O)[C@H](O)[C@H]1O,D-xylose,AADYJk,O,water
NSrSv,298.15,0.0743,0.0012,100,1000.9,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AActJI,OC1OC[C@@H](O)[C@H](O)[C@H]1O,D-xylose,AADYJk,O,water
NSrSv,298.15,0.0849,0.0008,100,1001.5,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AActJI,OC1OC[C@@H](O)[C@H](O)[C@H]1O,D-xylose,AADYJk,O,water
NSrSv,298.15,0.0908,0.0004,100,1001.9,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AActJI,OC1OC[C@@H](O)[C@H](O)[C@H]1O,D-xylose,AADYJk,O,water
