setid,"Temperature, K","MolaLity of 1-butyl-4-methylpyridinium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
XkMJm,288.15,0,100,999.097,Mehrdad and Parvini (2019),Density,Liquid,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water,,,
XkMJm,288.15,0.0011,100,999.126,Mehrdad and Parvini (2019),Density,Liquid,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water,,,
XkMJm,288.15,0.0018,100,999.138,Mehrdad and Parvini (2019),Density,Liquid,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water,,,
XkMJm,288.15,0.0021,100,999.139,Mehrdad and Parvini (2019),Density,Liquid,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water,,,
XkMJm,288.15,0.0036,100,999.163,Mehrdad and Parvini (2019),Density,Liquid,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water,,,
XkMJm,288.15,0.0043,100,999.177,Mehrdad and Parvini (2019),Density,Liquid,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water,,,
XkMJm,288.15,0.0065,100,999.217,Mehrdad and Parvini (2019),Density,Liquid,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water,,,
XkMJm,298.15,0,100,997.043,Mehrdad and Parvini (2019),Density,Liquid,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water,,,
XkMJm,298.15,0.0011,100,997.066,Mehrdad and Parvini (2019),Density,Liquid,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water,,,
XkMJm,298.15,0.0018,100,997.081,Mehrdad and Parvini (2019),Density,Liquid,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water,,,
XkMJm,298.15,0.0021,100,997.093,Mehrdad and Parvini (2019),Density,Liquid,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water,,,
XkMJm,298.15,0.0036,100,997.131,Mehrdad and Parvini (2019),Density,Liquid,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water,,,
XkMJm,298.15,0.0043,100,997.148,Mehrdad and Parvini (2019),Density,Liquid,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water,,,
XkMJm,298.15,0.0065,100,997.205,Mehrdad and Parvini (2019),Density,Liquid,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water,,,
XkMJm,308.15,0,100,994.038,Mehrdad and Parvini (2019),Density,Liquid,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water,,,
XkMJm,308.15,0.0011,100,994.057,Mehrdad and Parvini (2019),Density,Liquid,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water,,,
XkMJm,308.15,0.0018,100,994.066,Mehrdad and Parvini (2019),Density,Liquid,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water,,,
XkMJm,308.15,0.0021,100,994.069,Mehrdad and Parvini (2019),Density,Liquid,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water,,,
XkMJm,308.15,0.0036,100,994.087,Mehrdad and Parvini (2019),Density,Liquid,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water,,,
XkMJm,308.15,0.0043,100,994.099,Mehrdad and Parvini (2019),Density,Liquid,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water,,,
XkMJm,308.15,0.0065,100,994.13,Mehrdad and Parvini (2019),Density,Liquid,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water,,,
