setid,"Temperature, K",Mole fraction of 1-pentyl-3-methylimidazolium bromide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
EFdbV,288.15,0.0528,101,1135.7,Pal et al. (2013),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
EFdbV,288.15,0.1031,101,1149.85,Pal et al. (2013),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
EFdbV,288.15,0.2102,101,1173.93,Pal et al. (2013),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
EFdbV,288.15,0.3163,101,1191.2,Pal et al. (2013),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
EFdbV,288.15,0.4186,101,1204.89,Pal et al. (2013),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
EFdbV,288.15,0.512,101,1215.13,Pal et al. (2013),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
EFdbV,288.15,0.6129,101,1224.18,Pal et al. (2013),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
EFdbV,288.15,0.6967,101,1232.13,Pal et al. (2013),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
EFdbV,288.15,0.8031,101,1241.9,Pal et al. (2013),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
EFdbV,288.15,0.9021,101,1252.5,Pal et al. (2013),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
EFdbV,293.15,0.0528,101,1132.19,Pal et al. (2013),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
EFdbV,293.15,0.1031,101,1146.32,Pal et al. (2013),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
EFdbV,293.15,0.2102,101,1170.4,Pal et al. (2013),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
EFdbV,293.15,0.3163,101,1187.71,Pal et al. (2013),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
EFdbV,293.15,0.4186,101,1201.44,Pal et al. (2013),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
EFdbV,293.15,0.512,101,1211.73,Pal et al. (2013),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
EFdbV,293.15,0.6129,101,1220.73,Pal et al. (2013),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
EFdbV,293.15,0.6967,101,1228.69,Pal et al. (2013),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
EFdbV,293.15,0.8031,101,1238.5,Pal et al. (2013),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
