setid,"Temperature, K","Solvent: MolaLity of tetradecyltrimethylammonium bromide, mol/kg","MolaLity of pentan-1-ol, mol/kg","Pressure, kPa","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
jpjAj,288.15,0.02004,0.05001,101,0.733,De Lisi et al. (1990a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
jpjAj,288.15,0.02992,0.04997,101,0.731,De Lisi et al. (1990a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
jpjAj,288.15,0.04695,0.04991,101,0.761,De Lisi et al. (1990a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
jpjAj,288.15,0.04813,0.04999,101,0.76,De Lisi et al. (1990a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
jpjAj,288.15,0.04985,0.04995,101,0.757,De Lisi et al. (1990a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
jpjAj,288.15,0.05936,0.05002,101,0.764,De Lisi et al. (1990a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
jpjAj,288.15,0.07974,0.04988,101,0.78,De Lisi et al. (1990a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
jpjAj,288.15,0.08999,0.05,101,0.8,De Lisi et al. (1990a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
jpjAj,288.15,0.09501,0.05002,101,0.8,De Lisi et al. (1990a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
jpjAj,288.15,0.1002,0.04998,101,0.8,De Lisi et al. (1990a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
jpjAj,288.15,0.1046,0.04995,101,0.81,De Lisi et al. (1990a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
jpjAj,288.15,0.1121,0.04999,101,0.803,De Lisi et al. (1990a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
jpjAj,288.15,0.1205,0.05002,101,0.82,De Lisi et al. (1990a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
jpjAj,288.15,0.1322,0.04997,101,0.82,De Lisi et al. (1990a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
jpjAj,288.15,0.1532,0.04997,101,0.829,De Lisi et al. (1990a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
jpjAj,288.15,0.1784,0.05,101,0.841,De Lisi et al. (1990a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
jpjAj,288.15,0.201,0.05002,101,0.847,De Lisi et al. (1990a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
jpjAj,288.15,0.2494,0.05979,101,1.055,De Lisi et al. (1990a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
jpjAj,288.15,0.3163,0.0498,101,0.887,De Lisi et al. (1990a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
jpjAj,288.15,0.3507,0.05144,101,0.929,De Lisi et al. (1990a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
jpjAj,288.15,0.4038,0.04999,101,0.917,De Lisi et al. (1990a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
jpjAj,288.15,0.5109,0.05001,101,0.941,De Lisi et al. (1990a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
jpjAj,288.15,0.5969,0.05,101,0.95,De Lisi et al. (1990a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
jpjAj,288.15,0.6966,0.05,101,0.94,De Lisi et al. (1990a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
