setid,"Temperature, K","MolaLity of sodium trifluoromethanesulfonate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
CnAuH,283.15,0,101,958.07,Warminska et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
CnAuH,283.15,0.0324,101,961.31,Warminska et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
CnAuH,283.15,0.043,101,962.37,Warminska et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
CnAuH,283.15,0.0565,101,963.72,Warminska et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
CnAuH,283.15,0.07,101,965.07,Warminska et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
CnAuH,283.15,0.0898,101,967.04,Warminska et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
CnAuH,283.15,0.1114,101,969.21,Warminska et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
CnAuH,283.15,0.1445,101,972.54,Warminska et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
CnAuH,283.15,0.1748,101,975.61,Warminska et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
CnAuH,283.15,0.2026,101,978.41,Warminska et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
