setid,"Temperature, K","MolaLity of thiophene, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
qLoMi,288.15,0,101,1014.08,Shekaari et al. (2016b),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,,,
qLoMi,288.15,0.0192,101,1014.13,Shekaari et al. (2016b),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,,,
qLoMi,288.15,0.0401,101,1014.2,Shekaari et al. (2016b),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,,,
qLoMi,288.15,0.0684,101,1014.29,Shekaari et al. (2016b),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,,,
qLoMi,288.15,0.1204,101,1014.47,Shekaari et al. (2016b),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,,,
qLoMi,288.15,0.1526,101,1014.58,Shekaari et al. (2016b),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,,,
qLoMi,288.15,0.1846,101,1014.7,Shekaari et al. (2016b),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,,,
qLoMi,288.15,0.2062,101,1014.77,Shekaari et al. (2016b),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,,,
qLoMi,288.15,0.2556,101,1014.96,Shekaari et al. (2016b),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,,,
qLoMi,288.15,0.2822,101,1015.05,Shekaari et al. (2016b),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,,,
