setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium ethyl sulfate,Mole fraction of butan-1-ol,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
BbxLK,298.15,0.0333,0.8882,100,844,Anwar and Riyazuddeen (2017),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAONVE,CCCCO,butan-1-ol,AAGIBL,CO,methanol
BbxLK,298.15,0.0635,0.8446,100,866.2,Anwar and Riyazuddeen (2017),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAONVE,CCCCO,butan-1-ol,AAGIBL,CO,methanol
BbxLK,298.15,0.1006,0.7915,100,893.3,Anwar and Riyazuddeen (2017),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAONVE,CCCCO,butan-1-ol,AAGIBL,CO,methanol
BbxLK,298.15,0.1352,0.7522,100,917.8,Anwar and Riyazuddeen (2017),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAONVE,CCCCO,butan-1-ol,AAGIBL,CO,methanol
BbxLK,298.15,0.1669,0.7148,100,939.8,Anwar and Riyazuddeen (2017),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAONVE,CCCCO,butan-1-ol,AAGIBL,CO,methanol
BbxLK,298.15,0.2046,0.6716,100,965.5,Anwar and Riyazuddeen (2017),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAONVE,CCCCO,butan-1-ol,AAGIBL,CO,methanol
BbxLK,298.15,0.2322,0.6398,100,983.3,Anwar and Riyazuddeen (2017),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAONVE,CCCCO,butan-1-ol,AAGIBL,CO,methanol
BbxLK,298.15,0.2685,0.5982,100,1006.4,Anwar and Riyazuddeen (2017),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAONVE,CCCCO,butan-1-ol,AAGIBL,CO,methanol
BbxLK,298.15,0.299,0.5616,100,1025,Anwar and Riyazuddeen (2017),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAONVE,CCCCO,butan-1-ol,AAGIBL,CO,methanol
BbxLK,298.15,0.3313,0.5243,100,1043.8,Anwar and Riyazuddeen (2017),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAONVE,CCCCO,butan-1-ol,AAGIBL,CO,methanol
BbxLK,298.15,0.3696,0.4801,100,1065.1,Anwar and Riyazuddeen (2017),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAONVE,CCCCO,butan-1-ol,AAGIBL,CO,methanol
BbxLK,298.15,0.405,0.4363,100,1083.5,Anwar and Riyazuddeen (2017),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAONVE,CCCCO,butan-1-ol,AAGIBL,CO,methanol
BbxLK,298.15,0.4377,0.3968,100,1099.5,Anwar and Riyazuddeen (2017),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAONVE,CCCCO,butan-1-ol,AAGIBL,CO,methanol
BbxLK,298.15,0.4669,0.3611,100,1113.1,Anwar and Riyazuddeen (2017),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAONVE,CCCCO,butan-1-ol,AAGIBL,CO,methanol
BbxLK,298.15,0.4972,0.3239,100,1126.1,Anwar and Riyazuddeen (2017),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAONVE,CCCCO,butan-1-ol,AAGIBL,CO,methanol
BbxLK,298.15,0.5338,0.2953,100,1140.9,Anwar and Riyazuddeen (2017),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAONVE,CCCCO,butan-1-ol,AAGIBL,CO,methanol
BbxLK,298.15,0.5705,0.2607,100,1154.4,Anwar and Riyazuddeen (2017),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAONVE,CCCCO,butan-1-ol,AAGIBL,CO,methanol
BbxLK,298.15,0.6055,0.2352,100,1165.9,Anwar and Riyazuddeen (2017),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAONVE,CCCCO,butan-1-ol,AAGIBL,CO,methanol
BbxLK,298.15,0.6346,0.2133,100,1175,Anwar and Riyazuddeen (2017),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAONVE,CCCCO,butan-1-ol,AAGIBL,CO,methanol
BbxLK,298.15,0.6705,0.1809,100,1184.7,Anwar and Riyazuddeen (2017),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAONVE,CCCCO,butan-1-ol,AAGIBL,CO,methanol
BbxLK,298.15,0.7042,0.1586,100,1192.7,Anwar and Riyazuddeen (2017),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAONVE,CCCCO,butan-1-ol,AAGIBL,CO,methanol
BbxLK,298.15,0.7364,0.1311,100,1199.4,Anwar and Riyazuddeen (2017),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAONVE,CCCCO,butan-1-ol,AAGIBL,CO,methanol
BbxLK,298.15,0.7641,0.1127,100,1204.6,Anwar and Riyazuddeen (2017),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAONVE,CCCCO,butan-1-ol,AAGIBL,CO,methanol
BbxLK,298.15,0.7992,0.0829,100,1210.3,Anwar and Riyazuddeen (2017),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAONVE,CCCCO,butan-1-ol,AAGIBL,CO,methanol
BbxLK,298.15,0.8294,0.0625,100,1214.5,Anwar and Riyazuddeen (2017),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAONVE,CCCCO,butan-1-ol,AAGIBL,CO,methanol
BbxLK,298.15,0.8631,0.0433,100,1218.4,Anwar and Riyazuddeen (2017),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAONVE,CCCCO,butan-1-ol,AAGIBL,CO,methanol
BbxLK,298.15,0.8983,0.0232,100,1221.7,Anwar and Riyazuddeen (2017),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAONVE,CCCCO,butan-1-ol,AAGIBL,CO,methanol
BbxLK,298.15,0.9142,0.0195,100,1223,Anwar and Riyazuddeen (2017),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAONVE,CCCCO,butan-1-ol,AAGIBL,CO,methanol
BbxLK,298.15,0.9448,0.0099,100,1225.1,Anwar and Riyazuddeen (2017),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAONVE,CCCCO,butan-1-ol,AAGIBL,CO,methanol
BbxLK,303.15,0.0333,0.8882,100,840.1,Anwar and Riyazuddeen (2017),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAONVE,CCCCO,butan-1-ol,AAGIBL,CO,methanol
BbxLK,303.15,0.0635,0.8446,100,862.4,Anwar and Riyazuddeen (2017),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAONVE,CCCCO,butan-1-ol,AAGIBL,CO,methanol
BbxLK,303.15,0.1006,0.7915,100,889.6,Anwar and Riyazuddeen (2017),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAONVE,CCCCO,butan-1-ol,AAGIBL,CO,methanol
BbxLK,303.15,0.1352,0.7522,100,914,Anwar and Riyazuddeen (2017),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAONVE,CCCCO,butan-1-ol,AAGIBL,CO,methanol
BbxLK,303.15,0.1669,0.7148,100,936.1,Anwar and Riyazuddeen (2017),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAONVE,CCCCO,butan-1-ol,AAGIBL,CO,methanol
BbxLK,303.15,0.2046,0.6716,100,961.7,Anwar and Riyazuddeen (2017),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAONVE,CCCCO,butan-1-ol,AAGIBL,CO,methanol
BbxLK,303.15,0.2322,0.6398,100,979.7,Anwar and Riyazuddeen (2017),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAONVE,CCCCO,butan-1-ol,AAGIBL,CO,methanol
BbxLK,303.15,0.2685,0.5982,100,1002.7,Anwar and Riyazuddeen (2017),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAONVE,CCCCO,butan-1-ol,AAGIBL,CO,methanol
BbxLK,303.15,0.299,0.5616,100,1021.2,Anwar and Riyazuddeen (2017),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAONVE,CCCCO,butan-1-ol,AAGIBL,CO,methanol
BbxLK,303.15,0.3313,0.5243,100,1040.2,Anwar and Riyazuddeen (2017),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAONVE,CCCCO,butan-1-ol,AAGIBL,CO,methanol
BbxLK,303.15,0.3696,0.4801,100,1061.5,Anwar and Riyazuddeen (2017),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAONVE,CCCCO,butan-1-ol,AAGIBL,CO,methanol
BbxLK,303.15,0.405,0.4363,100,1079.9,Anwar and Riyazuddeen (2017),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAONVE,CCCCO,butan-1-ol,AAGIBL,CO,methanol
BbxLK,303.15,0.4377,0.3968,100,1096,Anwar and Riyazuddeen (2017),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAONVE,CCCCO,butan-1-ol,AAGIBL,CO,methanol
BbxLK,303.15,0.4669,0.3611,100,1109.5,Anwar and Riyazuddeen (2017),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAONVE,CCCCO,butan-1-ol,AAGIBL,CO,methanol
BbxLK,303.15,0.4972,0.3239,100,1122.7,Anwar and Riyazuddeen (2017),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAONVE,CCCCO,butan-1-ol,AAGIBL,CO,methanol
BbxLK,303.15,0.5338,0.2953,100,1137.4,Anwar and Riyazuddeen (2017),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAONVE,CCCCO,butan-1-ol,AAGIBL,CO,methanol
BbxLK,303.15,0.5705,0.2607,100,1151,Anwar and Riyazuddeen (2017),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAONVE,CCCCO,butan-1-ol,AAGIBL,CO,methanol
BbxLK,303.15,0.6055,0.2352,100,1162.6,Anwar and Riyazuddeen (2017),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAONVE,CCCCO,butan-1-ol,AAGIBL,CO,methanol
BbxLK,303.15,0.6346,0.2133,100,1171.5,Anwar and Riyazuddeen (2017),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAONVE,CCCCO,butan-1-ol,AAGIBL,CO,methanol
BbxLK,303.15,0.6705,0.1809,100,1181.3,Anwar and Riyazuddeen (2017),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAONVE,CCCCO,butan-1-ol,AAGIBL,CO,methanol
BbxLK,303.15,0.7042,0.1586,100,1189.3,Anwar and Riyazuddeen (2017),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAONVE,CCCCO,butan-1-ol,AAGIBL,CO,methanol
BbxLK,303.15,0.7364,0.1311,100,1196.1,Anwar and Riyazuddeen (2017),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAONVE,CCCCO,butan-1-ol,AAGIBL,CO,methanol
BbxLK,303.15,0.7641,0.1127,100,1201.3,Anwar and Riyazuddeen (2017),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAONVE,CCCCO,butan-1-ol,AAGIBL,CO,methanol
BbxLK,303.15,0.7992,0.0829,100,1206.9,Anwar and Riyazuddeen (2017),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAONVE,CCCCO,butan-1-ol,AAGIBL,CO,methanol
BbxLK,303.15,0.8294,0.0625,100,1211.1,Anwar and Riyazuddeen (2017),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAONVE,CCCCO,butan-1-ol,AAGIBL,CO,methanol
