setid,"Temperature, K","MolaLity of sodium trifluoromethanesulfonate, mol/kg","Pressure, kPa","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
eVzpF,293.15,0.020844,102,2.058,Hnedkovsky and Hefter (2021),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
eVzpF,293.15,0.032299,102,3.184,Hnedkovsky and Hefter (2021),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
eVzpF,293.15,0.050325,102,4.951,Hnedkovsky and Hefter (2021),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
eVzpF,293.15,0.072325,102,7.099,Hnedkovsky and Hefter (2021),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
eVzpF,293.15,0.10024,102,9.814,Hnedkovsky and Hefter (2021),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
eVzpF,293.15,0.15049,102,14.655,Hnedkovsky and Hefter (2021),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
eVzpF,293.15,0.20339,102,19.723,Hnedkovsky and Hefter (2021),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
eVzpF,293.15,0.25254,102,24.374,Hnedkovsky and Hefter (2021),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
eVzpF,293.15,0.30366,102,29.18,Hnedkovsky and Hefter (2021),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
eVzpF,293.15,0.39958,102,38.094,Hnedkovsky and Hefter (2021),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
eVzpF,293.15,0.50101,102,47.356,Hnedkovsky and Hefter (2021),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
eVzpF,293.15,0.70193,102,65.299,Hnedkovsky and Hefter (2021),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
eVzpF,293.15,1.0065,102,91.481,Hnedkovsky and Hefter (2021),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
eVzpF,293.15,1.2544,102,111.86,Hnedkovsky and Hefter (2021),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
eVzpF,293.15,1.5079,102,132.02,Hnedkovsky and Hefter (2021),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
eVzpF,293.15,2.0101,102,169.7,Hnedkovsky and Hefter (2021),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
eVzpF,293.15,2.5125,102,204.9,Hnedkovsky and Hefter (2021),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
eVzpF,293.15,3.0071,102,237.1,Hnedkovsky and Hefter (2021),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
eVzpF,293.15,3.991,102,295.13,Hnedkovsky and Hefter (2021),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
eVzpF,293.15,5.012,102,347.94,Hnedkovsky and Hefter (2021),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
eVzpF,293.15,7.0067,102,433.24,Hnedkovsky and Hefter (2021),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
eVzpF,298.15,0.020844,102,2.039,Hnedkovsky and Hefter (2021),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
eVzpF,298.15,0.032299,102,3.156,Hnedkovsky and Hefter (2021),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
eVzpF,298.15,0.050325,102,4.908,Hnedkovsky and Hefter (2021),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
eVzpF,298.15,0.072325,102,7.038,Hnedkovsky and Hefter (2021),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
eVzpF,298.15,0.10024,102,9.727,Hnedkovsky and Hefter (2021),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
eVzpF,298.15,0.15049,102,14.531,Hnedkovsky and Hefter (2021),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
eVzpF,298.15,0.20339,102,19.548,Hnedkovsky and Hefter (2021),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
eVzpF,298.15,0.25254,102,24.16,Hnedkovsky and Hefter (2021),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
eVzpF,298.15,0.30366,102,28.92,Hnedkovsky and Hefter (2021),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
eVzpF,298.15,0.39958,102,37.753,Hnedkovsky and Hefter (2021),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
