setid,Mole fraction of choline bromide,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
TzhDH,0.05,293.2,100,1114.9,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.05,298.2,100,1112.9,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.05,303.2,100,1110.8,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.05,308.2,100,1108.6,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.05,313.2,100,1106.2,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.05,318.2,100,1103.8,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.05,323.2,100,1101.3,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.05,328.2,100,1098.7,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.05,333.2,100,1096,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.05,338.2,100,1093.1,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.05,343.2,100,1090.2,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.05,348.2,100,1087.4,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.1,293.2,100,1186.9,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.1,298.2,100,1184.5,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.1,303.2,100,1182.1,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.1,308.2,100,1179.6,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.1,313.2,100,1177,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.1,318.2,100,1174.4,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.1,323.2,100,1171.7,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
