setid,"Temperature, K","MolaRity of tetrapentylammonium bromide, mol/dm3","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
UjUZk,308.15,0.00996,101,918.44,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,
UjUZk,308.15,0.01992,101,919.41,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,
UjUZk,308.15,0.02988,101,920.39,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,
UjUZk,308.15,0.03984,101,921.38,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,
UjUZk,308.15,0.0498,101,922.34,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,
UjUZk,308.15,0.05976,101,923.33,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,
UjUZk,313.15,0.00992,101,914.76,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,
UjUZk,313.15,0.01984,101,915.76,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,
UjUZk,313.15,0.02976,101,916.77,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,
UjUZk,313.15,0.03968,101,917.79,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,
UjUZk,313.15,0.04961,101,918.79,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,
UjUZk,313.15,0.05935,101,919.82,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,
UjUZk,318.15,0.00988,101,911.03,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,
UjUZk,318.15,0.01976,101,912.02,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,
UjUZk,318.15,0.02964,101,913,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,
UjUZk,318.15,0.03952,101,914.03,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,
UjUZk,318.15,0.04941,101,915.05,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,
UjUZk,318.15,0.05929,101,916.08,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,
UjUZk,323.15,0.00984,101,907.09,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,
UjUZk,323.15,0.01967,101,908.07,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,
UjUZk,323.15,0.02951,101,909.11,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,
UjUZk,323.15,0.03935,101,910.14,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,
UjUZk,323.15,0.0492,101,911.16,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,
UjUZk,323.15,0.05904,101,912.16,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,
