setid,Mole fraction of 1-hexyl-3-methylimidazolium tetrafluoroborate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
RXezr,0,298.15,101,799.87,Zhu et al. (2011),Density,Liquid,AANtck,CCC(C)=O,butanone,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
RXezr,0.0492,298.15,101,845.71,Zhu et al. (2011),Density,Liquid,AANtck,CCC(C)=O,butanone,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
RXezr,0.0988,298.15,101,889.12,Zhu et al. (2011),Density,Liquid,AANtck,CCC(C)=O,butanone,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
RXezr,0.2011,298.15,101,946.15,Zhu et al. (2011),Density,Liquid,AANtck,CCC(C)=O,butanone,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
RXezr,0.2989,298.15,101,991.57,Zhu et al. (2011),Density,Liquid,AANtck,CCC(C)=O,butanone,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
RXezr,0.3482,298.15,101,1010.53,Zhu et al. (2011),Density,Liquid,AANtck,CCC(C)=O,butanone,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
RXezr,0.3972,298.15,101,1027.28,Zhu et al. (2011),Density,Liquid,AANtck,CCC(C)=O,butanone,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
RXezr,0.4605,298.15,101,1046.8,Zhu et al. (2011),Density,Liquid,AANtck,CCC(C)=O,butanone,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
RXezr,0.4981,298.15,101,1057.05,Zhu et al. (2011),Density,Liquid,AANtck,CCC(C)=O,butanone,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
RXezr,0.55,298.15,101,1070.3,Zhu et al. (2011),Density,Liquid,AANtck,CCC(C)=O,butanone,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
RXezr,0.6057,298.15,101,1082.75,Zhu et al. (2011),Density,Liquid,AANtck,CCC(C)=O,butanone,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
RXezr,0.7054,298.15,101,1102.84,Zhu et al. (2011),Density,Liquid,AANtck,CCC(C)=O,butanone,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
RXezr,0.7955,298.15,101,1119.38,Zhu et al. (2011),Density,Liquid,AANtck,CCC(C)=O,butanone,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
RXezr,0.8931,298.15,101,1132.4,Zhu et al. (2011),Density,Liquid,AANtck,CCC(C)=O,butanone,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
RXezr,1,298.15,101,1146.7,Zhu et al. (2011),Density,Liquid,AANtck,CCC(C)=O,butanone,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
