setid,"Solvent: MolaLity of 1-butyl-3-methylimidazolium chloride, mol/kg","Temperature, K","MolaLity of methyl 3-oxobutanoate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
rrzts,0,288.15,0,101,999.1,Pal et al. (2014a),Density,Liquid,AAWREy,COC(=O)CC(C)=O,methyl 3-oxobutanoate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
rrzts,0,288.15,0.0809,101,1000.4,Pal et al. (2014a),Density,Liquid,AAWREy,COC(=O)CC(C)=O,methyl 3-oxobutanoate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
rrzts,0,288.15,0.1654,101,1001.6,Pal et al. (2014a),Density,Liquid,AAWREy,COC(=O)CC(C)=O,methyl 3-oxobutanoate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
rrzts,0,288.15,0.285,101,1003.4,Pal et al. (2014a),Density,Liquid,AAWREy,COC(=O)CC(C)=O,methyl 3-oxobutanoate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
rrzts,0,288.15,0.386,101,1004.9,Pal et al. (2014a),Density,Liquid,AAWREy,COC(=O)CC(C)=O,methyl 3-oxobutanoate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
rrzts,0,288.15,0.4607,101,1006,Pal et al. (2014a),Density,Liquid,AAWREy,COC(=O)CC(C)=O,methyl 3-oxobutanoate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
rrzts,0,288.15,0.5604,101,1007.4,Pal et al. (2014a),Density,Liquid,AAWREy,COC(=O)CC(C)=O,methyl 3-oxobutanoate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
rrzts,0,288.15,0.6367,101,1008.4,Pal et al. (2014a),Density,Liquid,AAWREy,COC(=O)CC(C)=O,methyl 3-oxobutanoate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
rrzts,0,288.15,0.7871,101,1010.4,Pal et al. (2014a),Density,Liquid,AAWREy,COC(=O)CC(C)=O,methyl 3-oxobutanoate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
rrzts,0,288.15,0.8429,101,1011.1,Pal et al. (2014a),Density,Liquid,AAWREy,COC(=O)CC(C)=O,methyl 3-oxobutanoate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
